date,observed,predicted
2014-04-07,2.568483365637671,1.4527864
2014-04-08,0.8843772575697099,1.413593
2014-04-08,0.8003630476776226,2.6144826
2014-04-09,0.9191842121851383,2.4561198
2014-04-10,6.546772398498333,6.2899623
2014-04-11,4.022280644924268,4.8405457
2014-04-11,3.946680397014721,4.0274463
2014-04-12,4.289903667375257,3.1123612
2014-04-13,-1.3668815715117109,-0.87444675
2014-04-14,-7.6416083498788385,-7.276005
2014-04-15,3.6143515227966523,2.6258857
2014-04-16,0.4334724721899982,0.6035679
2014-04-17,-3.778997612690657,-9.155699
2014-04-18,-20.7739896245914,-21.665642
2014-04-19,-35.87491369565018,-34.41232
2014-04-20,-30.579876741175124,-29.279379
2014-04-21,-27.766635196197996,-27.127487
2014-04-21,-27.833044940710863,-28.30202
2014-04-22,-19.691423382536207,-21.08871
2014-04-23,-22.649139796144397,-20.478622
2014-04-24,-4.439451424728378,-4.254184
2014-04-25,3.2930744915045143,2.9296346
2014-04-26,6.09070745904463,5.9955635
2014-04-27,1.2797901732977128,2.7125938
2014-04-28,6.341477291244138,6.463606
2014-04-28,2.970962739408963,4.6724305
2014-04-30,5.359921365655989,5.3914375
2014-05-01,-1.3023342613901172,0.90839756
2014-05-02,-4.676898950025766,-4.000582
2014-05-03,-7.436449842891666,-7.087548
2014-05-04,-21.93350421452767,-20.561287
2014-05-05,-26.733677014192548,-25.984325
2014-05-06,-18.98295916481246,-19.271093
2014-05-07,-7.941390033792114,-1.3712229
2014-05-08,-4.51708092866602,-6.812781
2014-05-09,-5.00441536558918,-6.94712
2014-05-10,-12.080572818269326,-10.117576
2014-05-11,-21.831681441819246,-21.312033
2014-05-12,-15.524795151172379,-16.485237
2014-05-13,-12.305594227480842,-14.517293
2014-05-14,-22.053006393929742,-23.876179
2014-05-15,-22.116491321025972,-20.881178
2014-05-16,-13.334406481126894,-16.167732
2014-05-17,-13.200080933966753,-17.05381
2014-05-18,-13.479380237787218,-13.676604
2014-05-19,-14.171675692494107,-2.9506898
2014-05-20,-14.864110969416762,-14.139204
2014-05-21,-14.111265797730113,-12.120148
2014-05-22,-5.314790463208812,-6.0359225
2014-05-23,-2.9080422751532207,-1.1691585
2014-05-24,-8.746325610394058,-5.754106
2014-05-25,-20.352670809127577,-18.974989
2014-05-26,-5.992419997630451,-6.664824
2014-05-27,4.4592902965238785,-0.20806271
2014-05-28,-0.14211257403769445,-1.4085044
2014-05-29,-9.901658311830339,-6.678351
2014-05-30,-6.251849812531254,-6.2615414
2014-05-31,-7.345671156225719,-9.104234
2014-06-01,-13.596007824318791,-12.614662
2014-06-02,-6.437350165152571,-7.570422
2014-06-03,-8.767753600604662,-9.433026
2014-06-04,-9.241138215270716,-8.106903
2014-06-05,0.8100584092481927,-0.013458137
2014-06-06,1.5766695357453675,3.3814414
2014-06-07,5.439540231592078,7.528426
2014-06-08,1.6670921842767896,3.917169
2014-06-09,-0.86726464353375,-0.8365776
2014-06-10,0.10820177598965998,2.4030225
2014-06-11,-18.115157410616465,-16.178133
2014-06-12,-56.0231666047869,-49.41539
2014-06-13,-32.78053552135012,-32.85501
2014-06-14,-31.840290446744667,-32.182285
2014-06-15,-40.31834621441184,-31.706743
2014-06-16,-24.540878320216184,-24.105827
2014-06-17,-25.63378827710181,-28.35039
2014-06-18,-44.06181221574222,-34.119858
2014-06-19,-36.88176090164732,-38.191723
2014-06-20,-38.80695239568738,-37.234623
2014-06-21,-47.742547399082355,-48.984676
2014-06-22,-49.45939022709878,-48.428417
2014-06-23,-38.60165332130521,-46.34739
2014-06-24,-28.186616818222294,-28.57688
2014-06-25,-26.27552619635336,-25.73024
2014-06-26,-28.327600560778254,-28.69039
2014-06-27,-21.76452100891519,-29.53941
2014-06-28,-17.872216094038258,-32.324352
2014-06-29,-25.354982897044977,-25.134748
2014-06-30,-14.057088165196262,-15.011083
2014-07-01,-7.140321287747007,-8.712147
2014-07-02,-2.741123297901571,-5.164255
2014-07-03,-9.837291070069549,-10.957365
2014-07-04,-10.559218224656883,-12.891212
2014-07-05,-27.198536512214577,-26.907139
2014-07-06,-43.49956247809384,-43.736523
2014-07-07,-33.5873309154938,-31.631247
2014-07-08,-34.43935703525316,-32.402664
2014-07-09,-26.770805823998515,-25.983616
2014-07-10,-22.109319398648122,-24.161093
2014-07-10,-22.257961438702864,-23.17042
2014-07-11,-23.29709258412206,-23.374868
2014-07-12,-41.24897497484959,-40.751293
2014-07-13,-46.79686820951526,-47.03604
2014-07-14,-59.41695409235384,-57.373234
2014-07-15,-67.93995523396333,-68.06362
2014-07-16,-66.61964522064245,-68.3912
2014-07-17,-61.25599459332819,-61.453465
2014-07-18,-62.38572337295684,-63.632248
2014-07-19,-72.6039080115653,-73.33344
2014-07-20,-84.63119148353499,-83.81729
2014-07-21,-76.24452014928026,-76.87804
2014-07-22,-95.13813616069665,-94.030205
2014-07-23,-104.29273329479572,-102.99703
2014-07-24,-90.78318927470626,-94.6148
2014-07-25,-86.61238842889632,-86.03281
2014-07-26,-75.95832767338095,-80.027214
2014-07-27,-73.02541495009778,-71.73594
2014-07-28,-64.1067061183068,-64.39762
2014-07-29,-58.93063948500916,-59.255806
2014-07-30,-52.47440757353707,-52.979183
2014-07-31,-46.68235233070964,-48.54286
2014-08-01,-50.476359401103394,-51.04755
2014-08-02,-54.848326340922334,-55.61482
2014-08-03,-54.88628393633098,-55.706688
2014-08-04,-72.33248420536965,-71.4364
2014-08-05,-85.01504122048803,-83.81682
2014-08-06,-107.67682576548061,-107.20499
2014-08-07,-86.61492878590981,-89.158714
2014-08-08,-72.79434327616302,-71.006836
2014-08-09,-60.55086555619672,-63.631813
2014-08-10,-60.59296658234606,-61.635807
2014-08-11,-71.39452107653423,-68.73651
2014-08-12,-70.88323784420807,-68.367386
2014-08-13,-57.246176578402974,-60.140713
