State,R Value
Andhra_Pradesh,0.8059338516851926
Arunachal_Pradesh,0.4530761841104325
Assam,0.8601390276476389
Bihar,0.5712805066057847
Chhattisgarh,0.8175156066276068
Chandigarh,0.9658875901549637
NCT_of_Delhi,0.9676622110393841
Goa,0.6461180460278807
Gujarat,0.7917604851013592
Himachal_Pradesh,0.5817579324529005
Haryana,0.9451853101365408
Jharkhand,0.5464504776426137
Jammu_and_Kashmir,0.7205030823690242
Karnataka,0.8476678319359414
Kerala,0.8666512825402019
Maharashtra,0.8661920976669315
Meghalaya,0.7110026451376776
Manipur,0.5572056980989507
Madhya_Pradesh,0.9208116592024986
Mizoram,0.5200539522749338
Nagaland,0.44609975840940347
Odisha,0.7473685552708867
Punjab,0.9648299360278741
Puducherry,0.7262617879022311
Rajasthan,0.7979508936152415
Sikkim,0.6766695595997151
Tamil_Nadu,0.8299977292568106
Tripura,0.6055834615902016
Telangana,0.835046309770694
Uttarakhand,0.760980394653967
Uttar_Pradesh,0.8394397108947245
West_Bengal,0.9012692634727256
