Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,AMNSIL,Damodar Valley Corporation,Total
2013-01-01,,0.0,11.0,194.0,300.0,0.0,5.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,100.0,0.0,400.0,150.0,,0.0,130.0,4.0,3.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,683.0,,10.0,1055.0,40.0,0.0,0.0,0.0,3123.0
2013-01-02,,300.0,2.0,188.0,600.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,172.0,0.0,100.0,0.0,500.0,150.0,,0.0,172.0,11.0,2.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,702.0,,25.0,1730.0,40.0,0.0,0.0,0.0,4723.0
2013-01-03,,0.0,4.0,108.0,400.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,500.0,150.0,,0.0,548.0,11.0,5.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,687.0,,7.0,1555.0,40.0,2.0,0.0,0.0,4142.0
2013-01-04,,0.0,2.0,163.0,300.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,350.0,150.0,,0.0,382.0,14.0,1.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,698.0,,11.0,1845.0,40.0,0.0,0.0,0.0,4086.0
2013-01-05,,0.0,5.0,122.0,100.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,76.0,300.0,75.0,,0.0,432.0,9.0,7.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,678.0,,10.0,1555.0,40.0,0.0,0.0,0.0,3539.0
2013-01-06,,500.0,2.0,141.0,200.0,0.0,14.0,2.0,1.0,0.0,1.0,23.0,548.0,0.0,100.0,160.0,300.0,150.0,,24.0,476.0,7.0,18.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,733.0,,1.0,1905.0,40.0,0.0,1.0,0.0,5359.0
2013-01-07,,400.0,1.0,160.0,125.0,0.0,14.0,2.0,1.0,0.0,1.0,22.0,9.0,0.0,100.0,0.0,300.0,150.0,,24.0,405.0,13.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,759.0,,1.0,2220.0,75.0,0.0,1.0,150.0,4951.0
2013-03-31,,1600.0,5.0,120.0,300.0,0.0,121.0,1.0,0.0,0.0,0.0,47.0,0.0,0.0,100.0,0.0,800.0,500.0,,7.0,712.0,8.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2256.0,,20.0,1400.0,0.0,116.0,,0.0,8118.0
2013-04-01,,2900.0,3.0,138.0,500.0,0.0,128.0,4.0,2.0,0.0,3.0,117.0,164.0,0.0,100.0,106.0,800.0,500.0,,55.0,765.0,1.0,15.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1463.0,,26.0,1430.0,0.0,186.0,,65.0,9479.0
2013-04-02,,2000.0,4.0,214.0,400.0,0.0,49.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,100.0,0.0,1000.0,500.0,,0.0,820.0,7.0,20.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2292.0,,26.0,1910.0,0.0,1.0,,200.0,9650.0
2013-04-03,,2000.0,5.0,209.0,600.0,0.0,57.0,0.0,0.0,0.0,50.0,36.0,98.0,0.0,100.0,123.0,1450.0,400.0,,5.0,645.0,2.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,2664.0,,21.0,1910.0,0.0,169.0,,250.0,10810.0
2013-04-04,,2000.0,8.0,244.0,600.0,0.0,286.0,4.0,2.0,0.0,77.0,109.0,0.0,0.0,100.0,0.0,1000.0,500.0,,47.0,642.0,5.0,8.0,4.0,7.0,0.0,0.0,0.0,126.0,0.0,1909.0,,50.0,1810.0,0.0,273.0,,140.0,9951.0
2013-04-05,,3000.0,3.0,234.0,650.0,0.0,132.0,4.0,2.0,0.0,53.0,121.0,0.0,0.0,100.0,0.0,1000.0,500.0,,55.0,710.0,2.0,41.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1247.0,,48.0,2341.0,0.0,156.0,,230.0,10637.0
2013-04-06,,3000.0,3.0,172.0,300.0,0.0,283.0,1.0,1.0,0.0,76.0,64.0,0.0,0.0,100.0,0.0,750.0,500.0,,18.0,636.0,1.0,30.0,4.0,2.0,100.0,0.0,0.0,0.0,0.0,1582.0,,44.0,2596.0,0.0,103.0,,100.0,10466.0
2013-04-07,,2500.0,9.0,130.0,600.0,0.0,104.0,1.0,0.0,0.0,75.0,47.0,0.0,0.0,100.0,0.0,600.0,500.0,,7.0,496.0,4.0,0.0,5.0,2.0,100.0,0.0,0.0,0.0,0.0,1285.0,,28.0,1770.0,0.0,90.0,,0.0,8453.0
2013-04-08,,3000.0,8.0,203.0,400.0,0.0,87.0,5.0,2.0,60.0,73.0,131.0,170.0,0.0,100.0,0.0,1000.0,500.0,,61.0,514.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,229.0,0.0,2292.0,,21.0,1770.0,0.0,211.0,,0.0,10844.0
2013-04-09,,2500.0,4.0,263.0,300.0,0.0,80.0,4.0,2.0,226.0,47.0,115.0,592.0,0.0,100.0,0.0,600.0,500.0,,50.0,681.0,3.0,18.0,1.0,3.0,350.0,0.0,0.0,185.0,0.0,2029.0,,42.0,3501.0,0.0,55.0,,0.0,12251.0
2013-04-10,,2500.0,3.0,317.0,330.0,0.0,82.0,4.0,2.0,0.0,72.0,106.0,551.0,0.0,100.0,38.0,900.0,500.0,,51.0,698.0,2.0,10.0,3.0,7.0,0.0,0.0,50.0,365.0,0.0,1518.0,,62.0,2685.0,80.0,238.0,,200.0,11474.0
2013-04-11,,2000.0,8.0,257.0,170.0,0.0,75.0,3.0,1.0,0.0,72.0,88.0,437.0,30.0,100.0,0.0,600.0,500.0,,36.0,175.0,5.0,25.0,5.0,8.0,0.0,0.0,70.0,243.0,0.0,1913.0,,46.0,2260.0,225.0,173.0,,50.0,9575.0
2013-04-12,,2460.0,10.0,241.0,550.0,0.0,80.0,4.0,2.0,221.0,62.0,88.0,577.0,0.0,100.0,0.0,700.0,500.0,,47.0,365.0,8.0,25.0,8.0,8.0,0.0,0.0,391.0,308.0,0.0,2512.0,,39.0,2330.0,160.0,119.0,,0.0,11915.0
2013-04-13,,2000.0,12.0,313.0,550.0,0.0,78.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,1000.0,500.0,,0.0,227.0,2.0,18.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2642.0,,46.0,1925.0,100.0,187.0,,590.0,10350.0
2013-04-14,,1500.0,11.0,351.0,600.0,0.0,59.0,0.0,0.0,0.0,50.0,13.0,0.0,0.0,100.0,0.0,700.0,500.0,,0.0,92.0,12.0,32.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,1097.0,,37.0,1640.0,0.0,81.0,,0.0,6891.0
2013-04-15,,2500.0,3.0,99.0,400.0,0.0,59.0,0.0,0.0,0.0,0.0,4.0,329.0,0.0,100.0,0.0,1600.0,550.0,,0.0,96.0,9.0,29.0,2.0,2.0,0.0,0.0,205.0,67.0,0.0,605.0,,26.0,2119.0,0.0,77.0,,0.0,8881.0
2013-04-16,,3400.0,5.0,71.0,300.0,0.0,63.0,2.0,1.0,0.0,1.0,72.0,0.0,0.0,100.0,0.0,900.0,500.0,,25.0,323.0,1.0,15.0,2.0,2.0,0.0,0.0,80.0,0.0,0.0,504.0,,26.0,1460.0,0.0,0.0,,0.0,7853.0
2013-04-17,,2600.0,6.0,106.0,350.0,0.0,64.0,2.0,1.0,0.0,1.0,46.0,237.0,0.0,100.0,0.0,600.0,500.0,,25.0,190.0,3.0,7.0,2.0,1.0,0.0,0.0,70.0,0.0,0.0,1588.0,,20.0,3185.0,0.0,0.0,,0.0,9704.0
