date,observed,predicted
2014-04-07,127.99517233962135,120.488396
2014-04-08,110.16771827555085,109.13547
2014-04-08,109.42972275520286,108.500854
2014-04-09,62.01660637868114,60.614613
2014-04-10,62.963937416582674,63.779297
2014-04-11,88.1611195578019,87.784485
2014-04-11,87.92400982016225,87.88494
2014-04-12,79.69706466202766,78.91513
2014-04-13,51.66778027795368,51.287865
2014-04-14,74.33809714831183,72.62679
2014-04-15,59.12321667487344,59.863186
2014-04-16,69.4095726790554,69.03467
2014-04-17,37.56407310146859,45.49977
2014-04-18,8.464706010776851,9.832046
2014-04-19,13.239988762086773,14.373008
2014-04-20,-16.77961296750355,11.7993965
2014-04-21,48.57363768146268,48.318
2014-04-21,48.57187553860643,49.094925
2014-04-22,77.70706138410569,72.82064
2014-04-23,87.94203462641646,84.190506
2014-04-24,91.30791608360207,88.48407
2014-04-25,87.09623902532644,62.193455
2014-04-26,48.14879847390444,45.893066
2014-04-27,10.751523067049847,11.188062
2014-04-28,48.178992057490795,48.110737
2014-04-28,42.57447588871974,37.11795
2014-04-30,33.74100196489185,32.862694
2014-05-01,-9.398731287263766,-7.9614296
2014-05-02,-9.132324572142284,-7.96382
2014-05-03,-8.262729883150529,-8.219187
2014-05-04,-34.016659863430775,-32.992165
2014-05-05,13.914317323385013,13.645011
2014-05-06,14.497510805844476,15.190428
2014-05-07,11.221898890729701,-2.6487646
2014-05-08,-68.22363450454786,-66.6634
2014-05-09,-92.26841577937849,-88.75998
2014-05-10,-58.44312420132378,-28.305105
2014-05-11,-59.705254388692055,-55.49373
2014-05-12,-10.282051867817836,-9.998028
2014-05-13,12.966322296047933,12.1119175
2014-05-14,28.642333371402614,26.668627
2014-05-15,48.03430165326943,49.112663
2014-05-16,66.71220170495204,61.200497
2014-05-17,37.44727304791524,28.545765
2014-05-18,-0.4581935383690922,1.2806773
2014-05-19,16.339078655179005,8.505751
2014-05-20,-23.087536653527692,-23.04871
2014-05-21,-32.64841948542859,-30.91072
2014-05-22,-24.24519686505821,-22.086828
2014-05-23,8.485539215510839,8.297034
2014-05-24,19.809386497769182,14.791493
2014-05-25,-17.921088678031538,-15.594088
2014-05-26,21.524531688079634,18.717066
2014-05-27,2.3758238991136196,-2.5760422
2014-05-28,-17.35640300958579,-15.424121
2014-05-29,-22.01467473667221,-21.594435
2014-05-30,-19.98446247869837,-20.377617
2014-05-31,-20.285185839218382,-17.395458
2014-06-01,-48.3532548269551,-12.808337
2014-06-02,-34.17065652922352,-33.660797
2014-06-03,-86.87801654683734,-83.78379
2014-06-04,-47.077368098049824,-42.905056
2014-06-05,-40.69906859321016,-42.270557
2014-06-06,-58.85659320125767,-43.70508
2014-06-07,-62.0845648769122,-58.020542
2014-06-08,-82.6685312793994,-50.210274
2014-06-09,-45.798588283481074,-45.56324
2014-06-10,-27.157912250067024,-26.852509
2014-06-11,-7.362418363579995,-7.299909
2014-06-12,-3.431963120720894,-5.7105994
2014-06-13,-18.430955579105554,-19.093899
2014-06-14,-25.99281161799789,-25.265867
2014-06-15,-39.68541101462155,-25.306808
2014-06-16,-14.5269183002965,-13.928613
2014-06-17,-4.665135755981382,-2.7612693
2014-06-18,-1.758646308361681,-1.9687648
2014-06-19,-13.00901138111061,-11.01302
2014-06-20,-3.8437191543013824,-3.8233967
2014-06-21,3.587026013102876,0.7279665
2014-06-22,-35.78401506892078,-33.22318
2014-06-23,-1.1786828368505387,-4.3073277
2014-06-24,9.336259661088446,9.048106
2014-06-25,18.487538704105535,19.289282
2014-06-26,31.860895323232477,30.390205
2014-06-27,44.580979958277084,22.521538
2014-06-28,23.380082530927222,1.5078248
2014-06-29,11.564347899677495,11.900212
2014-06-30,29.164850242814104,31.505121
2014-07-01,34.326931219220214,35.2832
2014-07-02,45.607899732930036,41.49256
2014-07-03,34.694106723982415,35.771397
2014-07-04,29.8909290588892,28.338799
2014-07-05,-13.67607782723892,-11.421361
2014-07-06,-46.90780900436727,-46.5979
2014-07-07,-30.456903372063937,-28.936613
2014-07-08,-28.315814657049398,-25.804432
2014-07-09,-27.442667549609368,-28.766705
2014-07-10,-56.63670395775687,-52.8067
2014-07-10,-56.47766556255024,-59.98309
2014-07-11,-68.38358799092703,-65.31875
2014-07-12,-65.76840220957553,-63.215763
2014-07-13,-87.5889302485969,-50.70174
2014-07-14,-54.4242387156795,-53.91393
2014-07-15,-55.48312163152481,-56.521507
2014-07-16,-54.90149684314062,-57.16337
2014-07-17,-42.03437325995302,-43.31443
2014-07-18,-31.56639394377246,-32.809486
2014-07-19,-45.25366387489404,-46.50724
2014-07-20,-66.61259469362086,-64.915596
2014-07-21,-27.060377099921354,-27.493896
2014-07-22,-23.854465282821543,-25.213049
2014-07-23,-45.01571988227106,-47.23982
2014-07-24,-42.022705280760896,-43.35832
2014-07-25,-31.831831508074163,-32.34987
2014-07-26,-39.99788897388553,-24.324081
2014-07-27,-64.37656658710544,-63.452408
2014-07-28,-40.951720105297,-39.246666
2014-07-29,-31.428448475399207,-32.043633
2014-07-30,-25.891961205619555,-27.720444
2014-07-31,-51.98915151150343,-47.59537
2014-08-01,-38.7092101825987,-39.73823
2014-08-02,-45.68195314711969,-48.58908
2014-08-03,-68.57572427773478,-66.84793
2014-08-04,-37.748957608399934,-37.75094
2014-08-05,-36.20998278093649,-38.398197
2014-08-06,-33.20345105388529,-34.2225
2014-08-07,-23.215762127615537,-22.136572
2014-08-08,-19.497910209440153,-20.442823
2014-08-09,-29.102013475528906,-28.168438
2014-08-10,-53.27745699123034,-51.25962
