date,observed,predicted
2014-04-07,-133.01889263291443,-104.006744
2014-04-08,-41.435207901458774,-45.017696
2014-04-08,-42.45349877176583,-37.847305
2014-04-09,141.9127467210194,116.52975
2014-04-10,96.6972495382272,106.65854
2014-04-11,184.61599344761026,173.39388
2014-04-11,183.36025974443672,173.12045
2014-04-12,207.20312426389728,193.36172
2014-04-13,125.34825820679596,132.96115
2014-04-14,117.5907656418747,116.96967
2014-04-15,165.32690656473068,158.16994
2014-04-16,173.50858823243024,167.7995
2014-04-17,195.67873852870716,152.83092
2014-04-18,178.8901501664618,171.18544
2014-04-19,160.15087883001166,159.20476
2014-04-20,258.84279817639174,116.05347
2014-04-21,197.09411993609956,191.43472
2014-04-21,196.4903463991134,190.27754
2014-04-22,137.9301619231923,145.979
2014-04-23,163.37420423942785,152.64948
2014-04-24,85.21654091126149,94.60334
2014-04-25,168.60421982795944,123.609085
2014-04-26,157.55689975702776,153.94041
2014-04-27,111.06244778001515,111.85032
2014-04-28,106.19826150166078,110.15393
2014-04-28,177.02909343137202,87.79115
2014-04-30,203.61831628135334,172.56056
2014-05-01,-38.71143903406548,-7.5201826
2014-05-02,-131.67701077294748,-111.08523
2014-05-03,-49.48518296905167,-52.10954
2014-05-04,-34.51616261654116,-35.65581
2014-05-05,-39.83553253968942,-43.70906
2014-05-06,-61.62523299140955,-54.807316
2014-05-07,-50.68690222689124,-8.551228
2014-05-08,-35.412039085060286,-22.857935
2014-05-09,-114.25923741339659,-93.659584
2014-05-10,-78.50185891439239,-16.750887
2014-05-11,6.257917503057124,14.605799
2014-05-12,127.64786413028442,117.38989
2014-05-13,166.79212192355013,152.14151
2014-05-14,165.1396698491722,148.8211
2014-05-15,62.51584517874959,63.02138
2014-05-16,114.0001240713336,107.23003
2014-05-17,144.89971165915884,73.78507
2014-05-18,50.756117039053315,60.59234
2014-05-19,138.28811754965884,66.14144
2014-05-20,64.47364316489093,68.70455
2014-05-21,83.52136226416422,87.72661
2014-05-22,94.45637295364943,92.28346
2014-05-23,157.46136822613042,151.91699
2014-05-24,163.77213030598728,148.13533
2014-05-25,74.2656102111771,70.74514
2014-05-26,-316.03273062890474,-328.73996
2014-05-27,-537.2761405590119,-505.98834
2014-05-28,-375.119814983803,-376.2179
2014-05-29,-25.07086971350772,-30.355684
2014-05-30,72.42948266823875,63.522404
2014-05-31,-276.22517513228206,-277.67734
2014-06-01,-17.195996724282377,42.727707
2014-06-02,23.17873948304472,28.555145
2014-06-03,33.40427164246233,24.322021
2014-06-04,-16.849200400575818,-19.663376
2014-06-05,-86.00921612346093,-63.0476
2014-06-06,143.13830174405086,34.837498
2014-06-07,59.08400559569681,53.35229
2014-06-08,39.03359092897907,35.228786
2014-06-09,37.87429005035648,34.824043
2014-06-10,-211.5047317438633,-179.28238
2014-06-11,-66.50269654064631,-59.893963
2014-06-12,-43.6649687509135,-42.585957
2014-06-13,11.231332375301122,11.029078
