State,R Value,Number of Trees
Andhra_Pradesh,0.955864615437678,200
Arunachal_Pradesh,0.6268074198344407,200
Assam,0.9527713516836126,200
Bihar,0.9444154830000853,200
Chhattisgarh,0.9309547282741445,200
Chandigarh,0.9750303037000924,200
Daman_and_Diu,0.7269542681535262,200
Dadra_and_Nagar_Haveli,0.8978827455630444,200
NCT_of_Delhi,0.9842064822249765,200
Goa,0.8441893874876344,200
Gujarat,0.9346514252516231,200
Himachal_Pradesh,0.8467101992049578,200
Haryana,0.972232308867366,200
Jharkhand,0.8354489700455491,200
Jammu_and_Kashmir,0.8377954504589493,200
Karnataka,0.970581970997156,200
Kerala,0.9415036289538836,200
Maharashtra,0.9490264946310045,200
Meghalaya,0.8143850892042102,200
Manipur,0.7295018285701468,200
Madhya_Pradesh,0.9753168768316608,200
Mizoram,0.6401111475905581,200
Nagaland,0.6473079334399633,200
Odisha,0.9208903326223681,200
Punjab,0.9807554098309366,200
Puducherry,0.8746126375841367,200
Rajasthan,0.9494020999135385,200
Sikkim,0.7167261109898131,200
Tamil_Nadu,0.9246334838030137,200
Tripura,0.7589323199682142,200
Telangana,0.9690404076078181,200
Uttarakhand,0.8855416786168364,200
Uttar_Pradesh,0.9686801886900005,200
West_Bengal,0.9565695017722475,200
