0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
5670,SRI VISHNU SHANKAR MILL LTD,0.80,Dindugal,Wind,26-Mar-2009
5671,JAYAVARMA TEXTILES (P) LTD,1.25,COIMBATORE(SOUTH),Wind,27-Mar-2009
5672,G.R THANGAMALIGAI (FIRM),1.25,COIMBATORE(SOUTH),Wind,27-Mar-2009
5673,"G.R.T.JEWELLERS (INDIA) (P) LTD.,",0.60,Tirunelveli,Wind,27-Mar-2009
5674,"SHRI OM WIND ENERGY (P) LTD.,",1.25,Tirunelveli,Wind,27-Mar-2009
5675,"K.K.P.SPINNING MILLS LTD.,",1.25,Tirunelveli,Wind,27-Mar-2009
5676,SUMMIT ONLINE TRADE SOLUTIONS PVT LTD,1.50,Tirunelveli,Wind,27-Mar-2009
5677,"SREE RAYALASEEMA HI- STRENGTH HYPO LTD.,",1.50,Tirunelveli,Wind,27-Mar-2009
5678,"SPI POWER.,",1.50,Tirunelveli,Wind,27-Mar-2009
5679,SUN CHEM PRODUCTS (P) LTD,0.25,Tirunelveli,Wind,27-Mar-2009
