0,1,2,3,4,5,6
S NO.,Name Of the Project,InstalledCapacity(MW),Type,Location(District),State,DATE OFCOMMISSIONING
"Patel Shanti Steels Pvt. Ltd,",0.23,Wind,Chitradurga,Karnataka,27-Mar-2003,
"VXL Systems.,",0.46,Wind,Chitradurga,Karnataka,27-Mar-2003,
Shilpa Medicare Limited,0.46,Wind,Chitradurga,Karnataka,27-Mar-2003,
"Nuzveedu Seeds Limited,",8.25,Wind,Davangere,Karnataka,27-Mar-2003,
"Texmo Precision Castings.,",1.20,Wind,Chitradurga,Karnataka,29-Mar-2003,
"Dee Dee Enterprises,",0.60,Wind,Chitradurga,Karnataka,29-Mar-2003,
"Royal Energy Company,",0.60,Wind,Chitradurga,Karnataka,29-Mar-2003,
"Siddaganga Oil Extractions Ltd.,",1.20,Wind,Chitradurga,Karnataka,30-Mar-2003,
"Fiza Developers & Inter-Trade Pvt.Ltd,",1.20,Wind,Chitradurga,Karnataka,30-Mar-2003,
"Raja Magnetics Ltd,",0.60,Wind,Chitradurga,Karnataka,30-Mar-2003,
CEPCO Industries Pvt. Ltd.,0.60,Chitradurga,Karnataka,30-Mar-2003,,
