0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,Summary of RE project in Maharastra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State,,Wind,,Solar,,Biopower,,Small Hydro,,Total (MW),,,,,,,,,,,,,,,,,,,,
,,,Installed
Capacity
(As per
MNRE on
30.12.19),,,Plantwise
data of
installed
capacity as
per
Mahatrans
co website
upto dec-
2019,,Installed
Capacity
(As per
MNRE on
30.12.19),,,Plantwise
data of
installed
capacity
as per
Mahatrans
co website
upto dec-
2019,,Installed
Capacity
(As per
MNRE on
30.12.19),,,Plantwise
data of
installed
capacity as
per
Mahatrans
co website
upto dec-
2019,,Installed
Capacity
(As per
MNRE on
30.12.19),,,Plantwise
data of
installed
capacity as
per
Mahatransc
o website
upto dec-
2019,,Installed
Capacity
(As per
MNRE on
30.12.19),,,Plantwise
data of
installed
capacity as
per
Mahatrans
co website
upto dec-
2019,,,,,
,Maharastra,,,5000.33,,,4781.81,,,1663.42,,,1058.05,,,2528.69,,,2759.70,,,379.58,,,328.43,,9572.02,,,8927.99,
