0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
2340,SEYADU BEEDI COMPANY,0.23,Tirunelveli,Wind,16-Mar-2005
2341,SEYADU BEEDI COMPANY,0.23,Tirunelveli,Wind,16-Mar-2005
2342,SEYADU BEEDI COMPANY,0.23,Tirunelveli,Wind,16-Mar-2005
2343,SEYADU BEEDI COMPANY,0.23,Tirunelveli,Wind,16-Mar-2005
2344,"NU POWER WINDFARMS LTD.,",0.50,Tirunelveli,Wind,16-Mar-2005
2345,"NU POWER WINDFARMS LTD.,",0.75,Tirunelveli,Wind,16-Mar-2005
2346,SHRI VISHNU PERUMAAL SPIN YARN P LTD,0.75,Udumalpet,Wind,17-Mar-2005
2347,"NAGA LTD.,",0.23,Tirunelveli,Wind,17-Mar-2005
2348,C.N.V. Textiles Pvt Ltd,0.23,palladam,Wind,17-Mar-2005
2349,Coimbatore Roller Flour Mills (P) Ltd,0.23,palladam,Wind,17-Mar-2005
