0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
4230,KG Entertainement Company Pvt. Ltd.,0.35,Udumalpet,Wind,30-Sep-2006
4231,S.K.T. Textile Mills,0.35,Udumalpet,Wind,30-Sep-2006
4232,"SJLT Spinning Mills (P) Ltd.,",0.23,Udumalpet,Wind,30-Sep-2006
4233,"CLARION WIND FARM (P) LTD.,",0.25,Tirunelveli,Wind,30-Sep-2006
4234,"CLARION WIND FARM (P) LTD.,",0.25,Tirunelveli,Wind,30-Sep-2006
4235,"CLARION WIND FARM (P) LTD.,",0.25,Tirunelveli,Wind,30-Sep-2006
4236,"CLARION WIND FARM (P) LTD.,",0.25,Tirunelveli,Wind,30-Sep-2006
4237,FREE LOOK FASHIONS,0.25,Tirunelveli,Wind,30-Sep-2006
4238,"CLARION WIND FARM (P) LTD.,",0.25,Tirunelveli,Wind,30-Sep-2006
4239,"CAPE INFRASTRUCTURE (P) LTD.,",0.25,Tirunelveli,Wind,30-Sep-2006
