0,1,2,3,4,5,6
Details of Commissioned Co-gen power projects in Karnataka,,,,,,
S NO.,Name of the Project,INSTALLEDCAPACITY(MW),TYPE,Location(District),STATES,DATE OFCOMMISSION
1,Ugar Sugars Works Ltd.,44.00,Co-gen,Belgaum,Karnataka,28-May-1998
2,Shamanur Sugars Ltd.,22.00,Co-gen,Davanagere,Karnataka,13-Aug-1999
3,Coromandel Sugars Ltd.,30.00,Co-gen,Mandya,Karnataka,6-Feb-2000
4,Shree Renuka Sugars Ltd.,37.50,Co-gen,Belgaum,Karnataka,7-Mar-2000
5,Bannari Amman Sugars Ltd.,16.00,Co-gen,Mysore,Karnataka,1-Apr-2000
6,Prabhulingeshwara SugarWorks Ltd.,55.50,Co-gen,Bagalkot,Karnataka,14-Nov-2000
7,South India Paper Mills Ltd.(Biomass based Cogen),7.80,Co-gen,Mysore,Karnataka,19-May-2001
8,Raytar Sahakari SakkareKarkhane Niyamita,12.50,Co-gen,Bagalkot,Karnataka,8-Dec-2001
9,Jamakhandi Sugars Ltd.,29.80,Co-gen,Bagalkot,Karnataka,8-Feb-2002
10,Godavari Bio Refineries Ltd.,45.56,Co-gen,Bagalkot,Karnataka,1-Sep-2002
