0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
2870,Sree Lakshmi Venkateshwara Spg Mill P Ltd,0.45,palladam,Wind,1-Aug-2005
2871,"SHRI GOVINDARAJA MILLS LTD.,",0.75,Tirunelveli,Wind,2-Aug-2005
2872,"SHRI GOVINDARAJA MILLS LTD.,",0.75,Tirunelveli,Wind,2-Aug-2005
2873,"SHRI GOVINDARAJA MILLS LTD.,",0.75,Tirunelveli,Wind,2-Aug-2005
2874,"BEST CORPORATION (P) LTD.,",1.25,Tirunelveli,Wind,2-Aug-2005
2875,SANTHA SPINNING MILLS (P) LTD.,1.25,Tirunelveli,Wind,2-Aug-2005
2876,"SHRI GOVINDARAJA MILLS LTD.,",0.75,Tirunelveli,Wind,2-Aug-2005
2877,Top Light Lables,0.23,palladam,Wind,3-Aug-2005
2878,"RAJAPALAYAM MILLS LTD.,",1.25,Tirunelveli,Wind,4-Aug-2005
2879,"RAJAPALAYAM MILLS LTD.,",1.25,Tirunelveli,Wind,4-Aug-2005
