0,1,2,3,4,5
,List of Commissioned Wind Power Projects in Tamil Nadu,,,,
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
1,The Metal Powder Company Limited,0.75,Kanyakumari,Wind,28-Mar-1990
2,Pandian Chemicals Ltd,0.50,Kanyakumari,Wind,28-Mar-1990
3,Pandian Chemicals Ltd,0.50,Kanyakumari,Wind,28-Mar-1990
4,SUNDARAM NCES,0.25,Tuticorin,Wind,1-Sep-1990
5,The Metal Powder Company Ltd,0.75,Kanyakumari,Wind,11-Mar-1991
6,SHRI LAKSHMI AGRO FOODS PVT. LTD.,0.50,Tuticorin,Wind,21-Mar-1991
7,LOVELY OFFSET PRINTERS PVT. LTD.,0.25,Tuticorin,Wind,21-Mar-1991
8,PSD WIND ENERGY PVT LTD,0.25,Tuticorin,Wind,21-Mar-1991
9,SHRI LAKSHMI AGRO FOODS PVT. LTD.,0.50,Tuticorin,Wind,21-Mar-1991
