0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
3240,ABT LIMITED,1.65,Tirunelveli,Wind,28-Oct-2005
3241,Prakash Flexibles Pvt Ltd,0.33,palladam,Wind,7-Nov-2005
3242,Sree Narasimha Textiles Pvt Ltd,1.65,Udumalpet,Wind,8-Nov-2005
3243,THIRUPATHI MILLS,1.25,Tirunelveli,Wind,8-Nov-2005
3244,"SIDHANATHA TEXTILES (P) LTD.,",0.85,Tirunelveli,Wind,15-Nov-2005
3245,ABT LIMITED,1.65,Tirunelveli,Wind,19-Nov-2005
3246,"KESHARI NANDAN KNIT FABRICS (P) LTD.,",0.75,Tirunelveli,Wind,21-Nov-2005
3247,Sree Karthikeyan Power Farm,0.23,palladam,Wind,28-Nov-2005
3248,Network Clothing Company P Ltd,0.75,palladam,Wind,3-Dec-2005
3249,"R.K.WIND FARM (KARUR) (P) LTD.,",1.65,Tirunelveli,Wind,6-Dec-2005
