0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
8270,The Tata Power Company Ltd,1.50,Udumalpet,Wind,29-Sep-2011
8271,The Tata Power Company Ltd,1.50,Udumalpet,Wind,29-Sep-2011
8272,The Tata Power Company Ltd,1.50,Udumalpet,Wind,29-Sep-2011
8273,The Tata Power Company Ltd,1.50,Udumalpet,Wind,29-Sep-2011
8274,NSL Wind Power Company (Phoolwadi) P Ltd,1.50,Udumalpet,Wind,29-Sep-2011
8275,NSL Wind Power Company (Phoolwadi) P Ltd,1.50,Udumalpet,Wind,29-Sep-2011
8276,"TVH ENERGY RESOURCE (P) LTD.,",2.10,Tirunelveli,Wind,29-Sep-2011
8277,"MORRIES ENERGY LTD.,",2.10,Tirunelveli,Wind,29-Sep-2011
8278,"SEA SINDU GREEN ENERGY (P) LTD.,",2.10,Tirunelveli,Wind,29-Sep-2011
8279,BELL TOWER ENTERPRISES LLP,0.25,Tirunelveli,Wind,29-Sep-2011
