0,1,2,3,4,5,6,7
List of commissined Biomass power projects in Telangana,,,,,,,
S.No,Project Name,InstalledCapacity(MW),Type,Location,State,CommissionedDate,Remarks
1,Ind Bharat Energies Ltd.,6.00,Biomass,Nalgonda,Telangana,11-Oct-2000,
2,Gayathri Agro Industries Ltd.,6.00,Biomass,Nalgonda,Telangana,28-Feb-2001,
3,NSL Renewable Power ( IndurGPL up to 24.01.2013),6.00,Biomass,Nizamabad,Telangana,23-Jul-2001,Plant inshutdown.
4,My Home Power Ltd. (NGPL),9.00,Biomass,Medak,Telangana,6-Feb-2002,
5,Rithwik Power Projects Ltd.,6.00,Biomass,Khammam,Telangana,23-Nov-2002,
6,Shalivahana Green Energy,6.00,Biomass,Adilabad,Telangana,7-Dec-2002,
7,Gowthami Bio energy Ltd.,6.00,Biomass,Khammam,Telangana,15-Feb-2003,
8,Saro Power Infrastructure Ltd.,6.00,Biomass,Mahabubnag,rTelangana,28-May-2003,
9,Surya Teja Power Project Pvt.ltd (Venkat Rao Fibers),6.00,Biomass,Mahabubnagar,Telangana,13-Apr-2007,
10,Radical Bio Organics Ltd.,6.00,Biomass,Ranga Reddy,Telangana,1-Aug-2014,
11,S.N.S. starch Ltd.,4.00,Biomass,Mahabubnagar,Telangana,5-Nov-2015,
Total,,67.00,,,,,
