0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
5860,A.Duraisamy Modern Rice Mill,0.23,palladam,Wind,6-Jul-2009
5861,VIVID WIND ENERGY PVT.LTD.,0.25,palladam,Wind,6-Jul-2009
5862,VIVID WIND ENERGY PVT.LTD.,0.25,palladam,Wind,6-Jul-2009
5863,PREMIER WIND FARMS,1.25,Tirunelveli,Wind,10-Jul-2009
5864,CLEAN SWITCH INDIA PRIVATE LIMITED,0.60,Tirunelveli,Wind,10-Jul-2009
5865,Sri Kannika Parameswari Store,1.25,palladam,Wind,15-Jul-2009
5866,Iswarya Wind Power & Energy (P) Ltd,0.25,palladam,Wind,21-Jul-2009
5867,Iswarya Wind Power & Energy (P) Ltd,0.25,palladam,Wind,21-Jul-2009
5868,LAKSHMI WIND FARMS,1.50,Tirunelveli,Wind,22-Jul-2009
5869,HI-TECH ARAI PVT.LTD.,0.60,palladam,Wind,24-Jul-2009
