0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
5760,NAKODA MACHINERY P.LTD,0.60,palladam,Wind,30-Mar-2009
5761,SANDHYA SPINNING MILL LTD,5.60,Dindugal,Wind,30-Mar-2009
5A7JA6P2,LAIYAM SPINTEXT (A Division of Rajapalayam,ills Ltd)0.80,Dindugal,Wind,30-Mar-2009
5763,P.S.K TEXTILES INDIA PLTD,0.25,COIMBATORE(SOUTH),Wind,31-Mar-2009
5764,Sree Kandiamman Wind Farms,0.25,COIMBATORE(SOUTH),Wind,31-Mar-2009
5765,"INDO WIND POWER (P) LTD.,",0.25,Tirunelveli,Wind,31-Mar-2009
5766,"MAPLE RENEWABLE POWER (P) LTD.,",1.50,Tirunelveli,Wind,31-Mar-2009
5767,"GANGA WIND FARM PVT.LTD.,",0.25,Tirunelveli,Wind,31-Mar-2009
5768,DR.S.KRISHNA KUMAR,0.25,Tirunelveli,Wind,31-Mar-2009
5S7h6ri9,akshmi Textiles Processors (Division of C.R Gar,ents)0.23,Udumalpet,Wind,31-Mar-2009
