0,1,2,3,4,5,6
S.NO,Name of Plant,InstalledCapacity (MW),Type,Location(District),State,Date ofCommissioning
43,M/s.VSM Weaves India Ltd,5.00,Solar,Tirupur Dist,Tamilnadu,23-Mar-2016
44,M/s.Top Light,10.00,Solar,Karur Dist,Tamilnadu,23-Mar-2016
45,M/s.Vedaah Green PowerPvt Ltd,10.00,Solar,Dindigul Dist,Tamilnadu,24-Mar-2016
46,M/s.Shapoorji Pallonji Solar PV Pvt Ltd,30.00,Solar,Tiruvannamalai,Tamilnadu,26-Mar-2016
47,M/s.RT Renewable Energy India Pvt Ltd,15.00,Solar,Virudhunagar Dist,Tamilnadu,28-Mar-2016
48,M/s KJ Solar System Pvt Ltd,2.00,Solar,Tricy Dist,Tamilnadu,28-Mar-2016
49,M/s. SSNR Power Pvt Ltd,10.00,Solar,Tuticorin Dist,Tamilnadu,29-Mar-2016
50,M/s Edison Energy India Pvt Ltd,15.00,Solar,Pudukkottai Dist,Tamilnadu,29-Mar-2016
51,M/s. Vedaah Power Pvt Ltd,5.00,Solar,Dindigul Dist,Tamilnadu,29-Mar-2016
52,M/s. Siechem Technologies Pvt Ltd,5.00,Solar,Pudukkottai Dist,Tamilnadu,30-Mar-2016
53,M/s. B.S. Apperal,2.00,Solar,Tricy Dist,Tamilnadu,30-Mar-2016
