0,1,2,3,4,5,6
S NO.,Name Of the Project,InstalledCapacity(MW),Type,Location(District),State,DATE OFCOMMISSIONING
Bhoruka Power Corporation Limited,15.30,Wind,Belgaum,Karnataka,11-Aug-2016,
Matrix Power (Wind) PrivateLimited,24.00,Wind,Vijayapura,Karnataka,9-Sep-2016,
Sandur Power Company PrivateLimited,12.00,Wind,Vijayapura,Karnataka,9-Sep-2016,
Athavan Solar Projects,4.00,Wind,Gadag,Karnataka,29-Sep-2016,
Dr K.Ramakrishnan,2.00,Wind,Gadag,Karnataka,29-Sep-2016,
ReNew Wind Energy (Karnataka)Pvt Limited,12.00,Wind,Gadag,Karnataka,29-Sep-2016,
Balaji Malts Private Limited,2.00,Wind,Gadag,Karnataka,29-Sep-2016,
Ferns Builders and Developers,2.00,Wind,Gadag,Karnataka,29-Sep-2016,
Bhoruka Power Corporation Limited,17.00,Wind,Gadag,Karnataka,7-Oct-2016,
Green Infra Wind Power GenerationLimited,20.00,Wind,Davangere,Karnataka,2-Nov-2016,
Sandur Power Company PrivateLimited,4.00,Wind,Vijayapura,Karnataka,15-Dec-2016,
