0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
1890,"SAHANA CLOTHING COMPANY (P) LTD.,",1.25,Tirunelveli,Wind,20-Sep-2004
1891,"BANNARI AMMAN SPINNING MILLS LTD.,",1.25,Tirunelveli,Wind,20-Sep-2004
1892,Rohini Textile Industry Pvt Ltd,0.50,palladam,Wind,20-Sep-2004
1893,Kpm Wind Farms Pvt Ltd,0.23,palladam,Wind,20-Sep-2004
1894,Kpm Wind Farms Pvt Ltd,0.23,palladam,Wind,20-Sep-2004
1895,Kpm Wind Farms Pvt Ltd,0.23,palladam,Wind,20-Sep-2004
1896,Amd Green Energy India (P) Ltd,0.23,Udumalpet,Wind,21-Sep-2004
1897,Kovai Maruthi Papers & Boards (P)Ltd,0.75,Udumalpet,Wind,21-Sep-2004
1898,Kovai Maruthi Papers & Boards (P)Ltd,0.75,Udumalpet,Wind,21-Sep-2004
1899,"R.ASWATHA GREEN (P) LTD.,",0.75,Tirunelveli,Wind,21-Sep-2004
