0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
2020,Mountain Leasing Company (P) Ltd,0.75,Udumalpet,Wind,30-Sep-2004
2021,Ganesa Textile Mills,0.75,Udumalpet,Wind,30-Sep-2004
2022,Twowin Exports,0.45,Udumalpet,Wind,30-Sep-2004
2023,Sabari Jewellery,0.23,Udumalpet,Wind,30-Sep-2004
2024,Asisan Wind Energy Pvt.Ltd,1.65,Udumalpet,Wind,30-Sep-2004
2025,Jayavishnu Spintex P Ltd,1.65,Udumalpet,Wind,30-Sep-2004
2026,THE ARASAN ALUMINIUM INDUSTRIES (P) LTD.,0.50,Tirunelveli,Wind,30-Sep-2004
2027,"CENTURY FLOUR MILLS LTD.,",0.60,Tirunelveli,Wind,30-Sep-2004
2U0V2A8,ESWARI ENTERPRISES WIND FARMS  PRIVATE L,MITED1.65,Tirunelveli,Wind,30-Sep-2004
2029,"MIDAS GOLDEN DISTILLERIES (P) LTD.,",1.25,Tirunelveli,Wind,30-Sep-2004
