0,1,2,3,4,5,6,7
List of commissioned Grid Connected west to Heat  RE Power Projects in Telangana,,,,,,,
S. No.,Project Name,InstalledCapacity(MW),Type,Location(District),State,CommissionedDate,Remarks
1,Selco International Ltd,6.60,Muncipal waste,Mahabubnagar,Telangana,19-Nov-2003,Service disconnected
2,SLT Power & Infrastructure projects Pvt.Ltd.,3.50,Industrial Waste,Nalgonda,Telangana,20-Dec-2007,Plant in shut down.
3,Shalivahana (MSW) Green Energy Pvt.Ltd. 132KV Sugalampally,12.00,Muncipal waste,Karimnagar,Telangana,14-Apr-2010,Service disconnected
4,Shravana Power Projects Pvt. Ltd. 132KVYacharam Switching Station,7.50,Industrial Waste,Rangareddy,Telangana,11-Jun-2010,
5,PSR Green Power Ltd 132KV Marikal,7.50,Industrial Waste,Mahabubnagar,Telangana,13-Dec-2013,Service disconnected
6,MSR Mega Bio-Power Pvt. Ltd.,7.50,Bio-gas,Warangal,Telangana,1-Jun-2016,
7,RDF Power Projects Pvt. Ltd.,11.00,Integrated Solidwaste,Nalgonda,Telangana,22-Feb-2018,Generation not yet started
Total,,55.60,,,,,
,,,,,,,
