0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
7120,"MOTHI SPINNER PVT.LTD.,",0.60,Tirunelveli,Wind,30-Sep-2010
7121,"INDO WIND POWER (P) LTD.,",0.60,Tirunelveli,Wind,30-Sep-2010
7122,"INDO WIND POWER (P) LTD.,",0.60,Tirunelveli,Wind,30-Sep-2010
7123,"INDO WIND POWER (P) LTD.,",0.60,Tirunelveli,Wind,30-Sep-2010
7124,"INDO WIND POWER (P) LTD.,",0.60,Tirunelveli,Wind,30-Sep-2010
7125,M/s. Eveready Spinning Mills (P) Ltd,0.85,Theni,Wind,30-Sep-2010
7126,M/s. Eveready Spinning Mills (P) Ltd,0.85,Theni,Wind,30-Sep-2010
7127,M/s.Saravanaa Distributors,0.85,Theni,Wind,30-Sep-2010
7128,"CITRON ECO POWER (P) LTD.,",0.85,Tirunelveli,Wind,30-Sep-2010
7129,DAILY FRESH FRUITS INDIA P LTD,1.00,Tirunelveli,Wind,30-Sep-2010
