0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
6040,"NAKODA TEXTILES INDUSTRIES LTD.,",0.75,Tirunelveli,Wind,28-Sep-2009
6041,"NAKODA TEXTILES INDUSTRIES LTD.,",0.75,Tirunelveli,Wind,28-Sep-2009
6042,N.M Hashim & Co,0.60,palladam,Wind,28-Sep-2009
6043,Sree devi  wind farm India Pvt. Ltd.,0.60,palladam,Wind,28-Sep-2009
6044,SIVASAKTHI SPINTEX MILL PVT LTD,0.23,COIMBATORE(SOUTH),Wind,29-Sep-2009
6045,S.A.Wind (P) Ltd,0.25,Udumalpet,Wind,29-Sep-2009
6046,/s SREE RAYALASEEMA HI-STRENGTH HYPO LT,1.65,Theni,Wind,29-Sep-2009
6047,T.C.P LIMITED,0.60,Tirunelveli,Wind,29-Sep-2009
6048,SRI LAKSHMI GANESH SPINNING MILLS OE DIV,1.50,Tirunelveli,Wind,29-Sep-2009
6049,/s.G2 TECHNOLOGY SOLUTIONS INDIA PVT LT,1.50,Tirunelveli,Wind,29-Sep-2009
