0,1,2,3,4,5,6,7
Name of site,District,No. ofWindTurbines,SubTotal,Wind TurbineMake,CapacityKW perTurbine,Total CapacityMW,Sub Total
Sub-total (24),,99,,,,131.500,
Jath,Sangli,13,,Suzlon Energy,2100,27.300,
Sub-total (25),,,13,,,,27.300
Jath-1,Sangli,9,,Suzlon Energy,2100,18.900,
Sub-total (26),,,9,,,,18.900
Jath - 2,Sangli,15,,Suzlon Energy,2100,31.500,
Sub-total (27),,,15,,,,31.500
Sindur,Sangli,28,,Suzlon Energy,2100,58.800,
Sub-total (28),,,28,,,,58.800
Sanmadi,Sangli,24,,Regen,1500,36.000,
Sub-total (29),,,24,,,,36.000
Jadhavwadi,Sangli,23,,Inox Wind,2000,46.000,
,,1,,Gamesa,2000,2.000,
Sub-total (30),,24,,,,48.000,
Bhendawade,Kolhapur,30,,Gamesa,850,25.5,
,18,Inox Wind,2000,36,,,
,3,Kenersys,2000,6,,,
Sub-total (31),,51,,,,,
