0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
8550,"GRACE INFRASTRUCTURE (P) LTD.,",0.80,Tirunelveli,Wind,9-Mar-2012
8551,"GRACE INFRASTRUCTURE (P) LTD.,",0.80,Tirunelveli,Wind,9-Mar-2012
8552,SHRI DHANALAKSHMI SPINNTEX PVT. LTD,0.80,Tuticorin,Wind,9-Mar-2012
8553,SHRI DHANALAKSHMI SPINNTEX PVT. LTD,0.80,Tuticorin,Wind,9-Mar-2012
8554,"GRACE INFRASTRUCTURE (P) LTD.,",0.80,Tirunelveli,Wind,10-Mar-2012
8555,"ECHANDA URJA (P) LTD.,",1.50,Tirunelveli,Wind,10-Mar-2012
8556,ITC Ltd,1.50,Udumalpet,Wind,12-Mar-2012
8557,S.G.P.Exim Pvt Ltd,0.80,Tuticorin,Wind,15-Mar-2012
8558,ITC Ltd,1.50,Udumalpet,Wind,15-Mar-2012
8559,ITC Ltd,1.50,Udumalpet,Wind,15-Mar-2012
