0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
3190,T.C.P LIMITED,0.50,Tirunelveli,Wind,30-Sep-2005
3191,T.C.P LIMITED,0.50,Tirunelveli,Wind,30-Sep-2005
3192,T.C.P LIMITED,0.50,Tirunelveli,Wind,30-Sep-2005
3193,T.C.P LIMITED,0.50,Tirunelveli,Wind,30-Sep-2005
3194,T.C.P LIMITED,0.50,Tirunelveli,Wind,30-Sep-2005
3195,T.C.P LIMITED,0.50,Tirunelveli,Wind,30-Sep-2005
3196,SEYED COTTON MILLS LTD,0.50,Tirunelveli,Wind,30-Sep-2005
3197,PERPETUAL POWER PVT LTD,0.60,Tirunelveli,Wind,30-Sep-2005
3198,"K.P.TEXTILES (COIMBATORE) (P) LTD.,",0.85,Tirunelveli,Wind,30-Sep-2005
3199,"SAKS POWER (P) LTD.,",0.25,Tirunelveli,Wind,30-Sep-2005
