0,1,2,3,4,5,6
S. No.,Project Name,InstalledCapacity(MW),Type,Location(District),State,CommissionedDate
120,M/s Hetero Labs Limited,4.00,Solar,Nalgonda,Telangana,24-Jun-2016
121,M/s Nirjara Solaire Urja Private Limited(SPV of M/s Solairedirect Energy India,10.00,Solar,Medak,Telangana,25-Jun-2016
122,M/s Polepally Solar Parks PrivateLimited,25.00,Solar,Mahabubnagar,Telangana,27-Jun-2016
123,M/s Cleansolar Renewable EnergyPrivate Limited (SPV of Mahindra EPC,30.00,Solar,Ranga Reddy,Telangana,29-Jun-2016
124,M/s Renew Akshay Urja PrivateLimited (SPV of M/s Renew Solar,100.00,Solar,Mahbubnagar,Telangana,30-Jun-2016
125,M/s First Solar Power India PrivateLimited,15.00,Solar,Mahbubnagar,Telangana,1-Jul-2016
126,M/s Photon Energy Systems Limited,5.00,Solar,Medak,Telangana,22-Jul-2016
127,M/s Dayakara Solar Power PrivateLimited (SPV of ACME Solar Energy Pvt,30.00,Solar,Mahbubnagar,Telangana,23-Jul-2016
128,M/s Sparkman Solar Energy PrivateLimited (SPV of Spark Infra Advisors,2.00,Solar,Medak,Telangana,4-Aug-2016
129,"M/s Sai Deepa Rock Drills Pvt. Ltd.,, 2MW",1.10,Solar,Nalgonda,Telangana,18-Aug-2016
130,M/s Halo Energy Pvt Limited,5.00,Solar,Mahabubnagar,Telangana,12-Sep-2016
131,"M/s Medak Solar Projects Pvt. Ltd.,",8.24,Solar,Medak,Telangana,7-Oct-2016
