0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
6230,"KKP HI-TECH WEAVING INDIA (P) LTD.,",0.23,Tirunelveli,Wind,22-Mar-2010
6231,"ABUNDANCE EQUIPMENT (P) LTD.,",0.23,Tirunelveli,Wind,22-Mar-2010
6232,TIRUPATI DEVELOPERS,0.23,Tirunelveli,Wind,22-Mar-2010
6233,SHANTHI FEEDS PVT.LTD.,0.60,palladam,Wind,22-Mar-2010
6234,SHANTHI FEEDS PVT.LTD.,0.60,palladam,Wind,22-Mar-2010
6235,SHANTHI FEEDS PVT.LTD.,0.60,palladam,Wind,22-Mar-2010
6236,SIVAKUMAR SPINNERS,0.60,Tirunelveli,Wind,23-Mar-2010
6237,"GRACE INFRASTRUCTURE (P) LTD.,",0.80,Tirunelveli,Wind,23-Mar-2010
6238,"GRACE INFRASTRUCTURE (P) LTD.,",0.80,Tirunelveli,Wind,23-Mar-2010
6239,"GRACE INFRASTRUCTURE (P) LTD.,",0.80,Tirunelveli,Wind,23-Mar-2010
