0,1,2,3,4,5,6
99,Jindal Poly Films Ltd,3.00,Solar,Deepak Bansal,Maharashtra,22-Sep-2017
100,Asian Hotels (West )Ltd,1.00,Solar,Amit Gupta,Maharashtra,30-Dec-2017
101,NVR Mahasolar PvtLtd,50.00,Solar,,Maharashtra,15-Jul-2017
102,Parampujya SolarEnergy  Pvt Ltd,20.00,Solar,Akshay Mathur,Maharashtra,22-Feb-2018
103,Gale SolarfarmsLimited,50.00,Solar,Rajesh G. Nailk,Maharashtra,1-Sep-2018
104,LREHL RenewablesIndia SPV 1 Pvt Ltd,50.00,Solar,Sachin Pawar,Maharashtra,8-Mar-2018
105,Solar Edge PowerAnd Energy Pvt Ltd,50.00,Solar,Sachin Pawar,Maharashtra,9-Mar-2018
106,Solar Edge PowerAnd Energy Pvt Ltd,50.00,Solar,Sunil Kulkarni,Maharashtra,27-Mar-2018
107,Solar Edge PowerAnd Energy Pvt Ltd,30.00,Solar,Sunil Kulkarni,Maharashtra,23-Mar-2018
108,Sukhbir Agro EnergyLtd,20.00,Solar,Sumit Sud,Maharashtra,24-Jan-2018
109,Vijay Printing PressPvt Ltd,10.00,Solar,Sanjay Gupta,Maharashtra,24-Jan-2018
