0,1,2,3,4,5,6,7
S.NO,Name of the Project,Name of the Developer,Installed Capacity(MW),Type,Location,State,Date of Commissioning
71,Grid Connected SolarRooftop,,0.005,Solar,,Puducherry,
72,Grid Connected SolarRooftop,,0.005,Solar,,Puducherry,
73,Grid Connected SolarRooftop,M/s. Sooryaoli Solar ProductsPvt Ltd,0.002,Solar,,Puducherry,
74,Grid Connected SolarRooftop,,0.025,Solar,,Puducherry,
75,Grid Connected SolarRooftop,,0.050,Solar,,Puducherry,
76,Grid Connected SolarRooftop,,0.001,Solar,,Puducherry,
77,Grid Connected SolarRooftop,,0.002,Solar,,Puducherry,
78,Grid Connected SolarRooftop,,0.001,Solar,,Puducherry,
79,Grid Connected SolarRooftop,M/s. Vyomaa Energy,0.180,Solar,,Puducherry,
80,Grid Connected SolarRooftop,,0.005,Solar,,Puducherry,16-Jul-2018
81,Grid Connected SolarRooftop,,0.003,Solar,,Puducherry,25-Jul-2018
82,Grid Connected SolarRooftop,M/s. Supreme Solar System,0.003,Solar,,Puducherry,25-Jul-2018
83,Grid Connected SolarRooftop,,0.410,Solar,,Puducherry,27-Jul-2018
84,Grid Connected SolarRooftop,,0.010,Solar,,Puducherry,20-Aug-2018
