0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
6760,MADRAS HARDTOOLS (P) LTD,0.25,COIMBATORE(SOUTH),Wind,31-Jul-2010
6761,KARPAGAM TEX WIND FARM LLP.,0.60,palladam,Wind,31-Jul-2010
6762,RAGHUVIR SINAI GHARSE,0.60,Tirunelveli,Wind,4-Aug-2010
6763,R.C.R.ECO-POWER,0.60,Tirunelveli,Wind,4-Aug-2010
6764,Khiviraj Motors (P) Ltd,1.65,Udumalpet,Wind,7-Aug-2010
6765,SRI JAGANNATHA SPINNERS,0.60,COIMBATORE(SOUTH),Wind,9-Aug-2010
6766,RAGHUVIR SINAI GHARSE,0.60,Tirunelveli,Wind,9-Aug-2010
6767,"JAIHIND WIRE ROD MILLS LTD.,",0.25,Tirunelveli,Wind,9-Aug-2010
6768,"JAIHIND WIRE ROD MILLS LTD.,",0.25,Tirunelveli,Wind,9-Aug-2010
6769,SHRI RAMALINGA MILLS LTD,1.00,Tuticorin,Wind,10-Aug-2010
