0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
8120,"GAJAANANDA JEWELLERY MART INDIA P LTD.,",0.75,Tirunelveli,Wind,9-Sep-2011
8121,"CITRON ECO POWER (P) LTD.,",1.50,Tirunelveli,Wind,9-Sep-2011
8122,SRI VALLI VILAS MVP & SONS,1.00,Tuticorin,Wind,10-Sep-2011
8123,"LUCKY YARNTEX INDIA (P) LTD.,",0.25,Tirunelveli,Wind,10-Sep-2011
8124,"LUCKY YARNTEX INDIA (P) LTD.,",0.25,Tirunelveli,Wind,10-Sep-2011
8125,"LUCKY YARNTEX INDIA (P) LTD.,",0.25,Tirunelveli,Wind,10-Sep-2011
8126,"LUCKY YARNTEX INDIA (P) LTD.,",0.25,Tirunelveli,Wind,10-Sep-2011
8127,"LUCKY YARNTEX INDIA (P) LTD.,",0.25,Tirunelveli,Wind,10-Sep-2011
8128,"LUCKY YARNTEX INDIA (P) LTD.,",0.25,Tirunelveli,Wind,10-Sep-2011
8129,"LUCKY YARNTEX INDIA (P) LTD.,",0.25,Tirunelveli,Wind,10-Sep-2011
