0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
1820,HI-TECH ARAI PVT.LTD.,0.50,palladam,Wind,19-Aug-2004
1821,HI-TECH ARAI PVT.LTD.,0.50,palladam,Wind,19-Aug-2004
1822,Sas Hotals And Enterpries Ltd,0.75,Udumalpet,Wind,20-Aug-2004
1823,Amd Green Energy India (P) Ltd,0.23,Udumalpet,Wind,20-Aug-2004
1824,Shakthi Wind Power,0.23,Udumalpet,Wind,20-Aug-2004
1825,"LOYAL TEXTILE MILLS LTD.,",0.60,Tirunelveli,Wind,20-Aug-2004
1826,"SRI CHINTAMANI TEXTILE MILLS (P) LTD.,",0.60,Tirunelveli,Wind,20-Aug-2004
1827,"VEEJAY SYNTEX (P) LTD.,",0.60,Tirunelveli,Wind,20-Aug-2004
1828,SEYADU BEEDI COMPANY,0.50,Tirunelveli,Wind,20-Aug-2004
1829,"PRIMA PRODUCTS (P) LTD.,",0.45,Tirunelveli,Wind,24-Aug-2004
