0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
2370,Pariyur Amman Wind Energy (P) Ltd,0.25,palladam,Wind,18-Mar-2005
2371,Wind Star Energy South India Pvt Ltd,0.23,palladam,Wind,18-Mar-2005
2372,J.M.AGRO WIND ENERGY  PVT LTD,0.25,palladam,Wind,18-Mar-2005
2373,J.M.AGRO WIND ENERGY PVT.LTD.,0.25,palladam,Wind,18-Mar-2005
2374,VMP ENERGY PVT LTD,0.50,palladam,Wind,18-Mar-2005
2375,V.V.MINERAL,0.75,Udumalpet,Wind,18-Mar-2005
2376,ATLAS EXPORT ENTERPRISES,0.75,Tirunelveli,Wind,19-Mar-2005
2377,PRAKASH POWER PVT.LTD.,0.35,palladam,Wind,19-Mar-2005
2378,Maple Renewable Power P Ltd,0.23,Udumalpet,Wind,21-Mar-2005
2379,Sree Kailaii Spinners Pvt Ltd,0.23,Udumalpet,Wind,21-Mar-2005
