0,1,2,3,4,5,6,7
Name of site,District,No. ofWindTurbines,SubTotal,Wind TurbineMake,CapacityKW perTurbine,Total CapacityMW,Sub Total
Sub-total (12),,125,,,,200.950,
Maloshi,Satara,24,,Suzlon Energy,1250,30,
Sub-total (13),,24,,,,30.000,
Humbarne,Satara,12,,Suzlon Energy,1500,18,
Sub-total (14),,12,,,,18.000,
BotheSatara,35,,Vestas WindTech,2000,70,,
,,56,Suzlon Energy,2100,117.6,,
Sub-total (15),,91,,,,187.600,
Khokade,Satara,1,,Suzlon Energy,2100,2.100,
,,5,Vestas WindTech,2000,10.000,,
Sub-total (16),,,6,,,,12.100
Khanapur,Satara,44,,Winworld,800,35.200,
Sub-total (17),,,44,,,,35.200
Ghotane,Satara,10,,Suzlon Energy,1500,15.000,
Sub-total (18),,10,,,,15.000,
Girijashankarwadi,Satara,23,,Kenersys,2000,46.000,
,7,Kenersys,2400,16.800,,,
Sub-total (19),,30,,,,,
