0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
7720,Jayavarma Textiles Pvt. Ltd.,0.85,palladam,Wind,31-Mar-2011
7721,Anand Textiles,0.85,palladam,Wind,31-Mar-2011
7722,RANGAMMA STEELS AND MALLEABLES,0.85,palladam,Wind,31-Mar-2011
7723,Sri Selvam Textiles,0.85,palladam,Wind,31-Mar-2011
7724,Jayavarma Textiles Pvt. Ltd.,0.85,palladam,Wind,31-Mar-2011
7725,Siva Engineering Company,0.85,palladam,Wind,31-Mar-2011
7726,Anand Textiles,0.85,palladam,Wind,31-Mar-2011
7727,Viking Textiles Pvt. Ltd.,0.85,palladam,Wind,31-Mar-2011
7728,Sakki Power Project Ltd.,0.85,palladam,Wind,31-Mar-2011
7729,KIWI Cottspin Mill (P) Ltd,0.25,palladam,Wind,31-Mar-2011
