0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
6430,Gomuki Spinning Mills(P) Ltd,0.25,palladam,Wind,30-Mar-2010
6431,Gomuki Spinning Mills(P) Ltd,0.25,palladam,Wind,30-Mar-2010
6432,RAJA SPINNERS,0.60,palladam,Wind,30-Mar-2010
6433,Arun Engineering Works,0.25,palladam,Wind,30-Mar-2010
6434,P.DURAISAMY MAHARAJA RICE MILL P.LTD,0.25,palladam,Wind,30-Mar-2010
6435,RIBAS FABS,0.25,palladam,Wind,30-Mar-2010
6436,TCP LIMITED,0.60,palladam,Wind,30-Mar-2010
6437,VENKATRAMA POULTRIES LTD,0.60,palladam,Wind,30-Mar-2010
6438,ERODE DYE CHEM,0.60,palladam,Wind,30-Mar-2010
6439,ERODE CHEMICALS,0.60,palladam,Wind,30-Mar-2010
