0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
1350,Hindustan Cotton Spinning Mills,0.23,Udumalpet,Wind,27-Sep-2003
1351,Sanjay Eco Green Power Pvt. Ltd.,0.23,Udumalpet,Wind,27-Sep-2003
1352,Shree Vari Mulltiplast India (P) Limited,0.45,Udumalpet,Wind,27-Sep-2003
1353,CONCORDE AGENCIES,0.50,Tirunelveli,Wind,28-Sep-2003
1354,MIRRA AND MIRRA INDUSTRIES,0.25,Tirunelveli,Wind,28-Sep-2003
1355,K. Indira,0.75,Udumalpet,Wind,28-Sep-2003
1356,C. Kandasamy,1.50,Udumalpet,Wind,28-Sep-2003
1357,Ellen Industries (P) Ltd,0.50,Udumalpet,Wind,28-Sep-2003
1358,Anishkumar Spinning Mills,0.50,Udumalpet,Wind,28-Sep-2003
1359,Anish Kumar Spinning Mills,0.50,Udumalpet,Wind,28-Sep-2003
