0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
6090,"AAA INFRA ADVISING SERVICES (P) LTD.,",0.23,Tirunelveli,Wind,30-Sep-2009
6091,"DAKSH MINERALS & MARAINE (P) LTD.,",0.23,Tirunelveli,Wind,30-Sep-2009
6092,"PARIYUR AMMAN SPINNING MILLS (P) LTD.,",0.23,Tirunelveli,Wind,30-Sep-2009
6093,RAAG BUSINESS SOLUTIONS,0.23,Tirunelveli,Wind,30-Sep-2009
6094,R.RAVISANKAR,0.23,Tirunelveli,Wind,30-Sep-2009
6095,"MAPLE RENEWABLE POWER (P) LTD.,",1.50,Tirunelveli,Wind,30-Sep-2009
6096,"SRI JAYAJOTHI & Co.(P) LTD.,",1.50,Tirunelveli,Wind,30-Sep-2009
6097,"HEXA WIND FARM (P) LTD.,",1.50,Tirunelveli,Wind,30-Sep-2009
6098,"HEXA WIND FARM (P) LTD.,",1.50,Tirunelveli,Wind,30-Sep-2009
6099,"HEXA WIND FARM (P) LTD.,",1.50,Tirunelveli,Wind,30-Sep-2009
