0,1,2,3,4,5,6
S. No.,Name of Project,Installed Capacity(MW),Name of theDeveloper,Type,Location(District),Date ofCommissioning
749,Western Drugs Ltd,1.50,Suzlon,Wind,Jaisalmer,15-Dec-2011
750,Indrani Patnaik,6.00,Suzlon,Wind,Jaisalmer,24-Dec-2011
751,Eastman Impex,1.25,Suzlon,Wind,Jaisalmer,30-Dec-2011
752,Ajeet Seeds Ltd,0.60,Suzlon,Wind,Jaisalmer,30-Dec-2011
753,Jadhao Steel Alloys,0.60,Suzlon,Wind,Jaisalmer,30-Dec-2011
754,Gupta Coal (India) Ltd.,6.30,Suzlon,Wind,Jaisalmer,30-Dec-2011
755,Vivek Pharmachem(India) Ltd,1.50,Suzlon,Wind,Jodhpur,31-Dec-2011
756,Markdata Power AndEnergy Ltd,0.60,Suzlon,Wind,Jaisalmer,14-Jan-2012
757,Ashish Buildcon Pvt. Ltd,0.60,Suzlon,Wind,Jaisalmer,12-Jan-2012
758,Shree Ram Industries,2.10,Suzlon,Wind,Jaisalmer,10-Jan-2012
759,Rajasthan Gums Pvt Ltd.,2.10,Suzlon,Wind,Jaisalmer,24-Jan-2012
760,Indrani Patnaik,3.00,Suzlon,Wind,Jaisalmer,18-Jan-2012
761,Eon Electric Ltd,3.00,Suzlon,Wind,Jaisalmer,10-Jan-2012
762,Eon Electric Ltd,1.50,Suzlon,Wind,Jaisalmer,24-Jan-2012
763,JLC Electromet Pvt. Ltd,1.50,Suzlon,Wind,Jaisalmer,21-Jan-2012
