0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
5420,Tulip Renewable power Tech Pvt Ltd,1.50,COIMBATORE(SOUTH),Wind,28-Sep-2008
5421,Tulip Renewable power Tech Pvt Ltd,1.50,COIMBATORE(SOUTH),Wind,28-Sep-2008
5422,Tulip Renewable power Tech Pvt Ltd,1.50,COIMBATORE(SOUTH),Wind,28-Sep-2008
5423,Tulip Renewable power Tech Pvt Ltd,1.50,COIMBATORE(SOUTH),Wind,28-Sep-2008
5424,Tulip Renewable power Tech Pvt Ltd,1.50,COIMBATORE(SOUTH),Wind,28-Sep-2008
5425,Tulip Renewable power Tech Pvt Ltd,1.50,COIMBATORE(SOUTH),Wind,28-Sep-2008
5426,Tulip Renewable power Tech Pvt Ltd,1.50,COIMBATORE(SOUTH),Wind,28-Sep-2008
5427,Tulip Renewable Powertech Pvt.Ltd,1.50,COIMBATORE(SOUTH),Wind,28-Sep-2008
5428,Tulip Renewable Powertech Pvt.Ltd,1.50,COIMBATORE(SOUTH),Wind,28-Sep-2008
5429,Tulip Renewable Powertech Pvt.Ltd,1.50,COIMBATORE(SOUTH),Wind,28-Sep-2008
