0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
8720,Ashok Wind Energy,0.85,Udumalpet,Wind,31-Mar-2012
8721,Zold Udp Power Pvt Ltd,0.60,COIMBATORE(SOUTH),Wind,31-Mar-2012
8722,"AKIL FOUNDATION.,",0.75,Tirunelveli,Wind,31-Mar-2012
8723,SHRI VARALAKSHMI COMPANY,1.50,Tirunelveli,Wind,31-Mar-2012
8724,"MOTHI SPINNER PVT.LTD.,",0.75,Tirunelveli,Wind,31-Mar-2012
8725,"PIONEER JELLICE INDIA (P) LTD.,",0.75,Tirunelveli,Wind,31-Mar-2012
8726,M.THIAGARAJAN,0.75,Tirunelveli,Wind,31-Mar-2012
8727,"GRACE INFRASTRUCTURE (P) LTD.,",0.80,Tirunelveli,Wind,31-Mar-2012
8728,"GRACE INFRASTRUCTURE (P) LTD.,",0.80,Tirunelveli,Wind,31-Mar-2012
8729,"GRACE INFRASTRUCTURE (P) LTD.,",0.80,Tirunelveli,Wind,31-Mar-2012
