0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
6910,S.K.T. TEXTILE MILLS,1.25,Tirunelveli,Wind,23-Sep-2010
6911,RI KUMARASWAMY MINERAL EXPORTS PVT.LT,.1.50,Tirunelveli,Wind,23-Sep-2010
6912,G.R.THANGA MALIGAI (FIRM),1.50,Tirunelveli,Wind,23-Sep-2010
6913,Mannariah & Sons (P) Ltd,0.60,palladam,Wind,23-Sep-2010
6914,RSM Sapthagiri Finance Ltd,0.60,palladam,Wind,23-Sep-2010
6915,Shri Shakthi Weaving Mills P Ltd,0.60,palladam,Wind,23-Sep-2010
6916,Ganesa Textile Mills,0.23,palladam,Wind,23-Sep-2010
6917,Veejay Syntex Private Limited,0.80,Dindugal,Wind,23-Sep-2010
6918,Kavitha Dyeings,0.23,Udumalpet,Wind,24-Sep-2010
6919,"M.M.FORGINGS.,",0.60,Tirunelveli,Wind,24-Sep-2010
