0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
3750,Vanitha Textiles,0.35,Udumalpet,Wind,31-Mar-2006
3751,Sri Priyalakshmi Spinners (P) Ltd,0.35,Udumalpet,Wind,31-Mar-2006
3752,Compact Eco Energy P Ltd,0.35,Udumalpet,Wind,31-Mar-2006
3753,Rohini Textile Industry (P) Ltd,0.45,Udumalpet,Wind,31-Mar-2006
3754,Senbagam Textiles and Spinners,0.25,Udumalpet,Wind,31-Mar-2006
3755,TKM MILLS PVT LTD,0.25,Udumalpet,Wind,31-Mar-2006
3756,TKM MILLS PVT LTD,0.25,Udumalpet,Wind,31-Mar-2006
3757,Premier Mills (P) Ltd,1.65,Udumalpet,Wind,31-Mar-2006
3758,Odendhurai Panchyat,0.35,Udumalpet,Wind,31-Mar-2006
3759,Sri V Balaji Spinning Mills India (P) Ltd,0.35,Udumalpet,Wind,31-Mar-2006
