0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
1810,"CLARION WIND FARM (P) LTD.,",1.25,Tirunelveli,Wind,12-Aug-2004
1811,"SEYAD COTTON MILLS LTS.,",0.50,Tirunelveli,Wind,14-Aug-2004
1812,"SUZLON ENERGY LTD.,",2.00,Tirunelveli,Wind,14-Aug-2004
1813,RAJALAKSHMI WIND ENERGY LTD,0.68,Tirunelveli,Wind,17-Aug-2004
1814,RAJALAKSHMI WIND ENERGY LTD,0.68,Tirunelveli,Wind,17-Aug-2004
1815,RAJALAKSHMI WIND ENERGY LTD,0.23,Tirunelveli,Wind,17-Aug-2004
1816,SREE AYYANAR SPINNING & WEAVING MILLS,0.85,Tirunelveli,Wind,17-Aug-2004
1817,SREE AYYANAR SPINNING & WEAVING MILLS,0.85,Tirunelveli,Wind,17-Aug-2004
1818,"M Ct M GLOBAL INVESTMENTS (P) LTD.,",1.20,Tirunelveli,Wind,18-Aug-2004
1819,"SENTHILNATHAN SPINNING MILLS (P) LTD.,",1.25,Tirunelveli,Wind,19-Aug-2004
