0,1,2,3,4,5,6
S. No.,Project Name,InstalledCapacity (MW),Type,Location (District),State,Commissioned Date
48,Green Infra Solar FarmsLtd,10.00,Solar,Jodhpur,Rajasthan,24-Dec-2012
49,Green Infra SolarProjects Ltd,5.00,Solar,Jodhpur,Rajasthan,24-Dec-2012
50,Hasya Enterprises (P) Ltd.,0.10,Solar,Bikaner,Rajasthan,29-Dec-2012
51,Fonroche Saaras EnergyPrivate Limited,15.00,Solar,Bikaner,Rajasthan,21-Jan-2013
52,Welspun Solar AP PrivateLimited,15.00,Solar,Jodhpur,Rajasthan,22-Jan-2013
53,Green Infra Solar FarmsLtd,10.00,Solar,Jodhpur,Rajasthan,30-Jan-2013
54,Welspun Solar AP PrivateLimited,15.00,Solar,Jodhpur,Rajasthan,31-Jan-2013
55,Impact Solar Power (P)Ltd,1.50,Solar,Bikaner,Rajasthan,1-Feb-2013
56,Kanoria Chemicals &Industries  Ltd. (part-II),2.50,Solar,Jodhpur,Rajasthan,8-Feb-2013
57,SEI Solar Power Pvt Ltd,20.00,Solar,Jodhpur,Rajasthan,11-Feb-2013
