0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
3230,"EXPO FAB NATURAL POWER PVT LTD.,",0.85,Tirunelveli,Wind,5-Oct-2005
3231,"SUNDARAM INDUSTRIES LTD.,",0.25,Tirunelveli,Wind,6-Oct-2005
3232,"SUNDARAM INDUSTRIES LTD.,",0.25,Tirunelveli,Wind,6-Oct-2005
3233,"SRI VEDHA MILLS (P) LTD.,",0.23,Tirunelveli,Wind,14-Oct-2005
3234,Arya Balaji Green Powers P Ltd,0.33,palladam,Wind,14-Oct-2005
3235,Lakshmi Energy And Environment Designs Ltd,1.65,Udumalpet,Wind,25-Oct-2005
3236,"PERPETUAL POWER (P) LTD.,",0.50,Tirunelveli,Wind,25-Oct-2005
3237,"PERPETUAL POWER (P) LTD.,",0.25,Tirunelveli,Wind,25-Oct-2005
3238,"PERPETUAL POWER (P) LTD.,",0.25,Tirunelveli,Wind,25-Oct-2005
3239,Alpha Mills Pvt Ltd,0.25,palladam,Wind,28-Oct-2005
