0,1,2,3,4,5,6
S. No.,Name of Project,Installed Capacity(MW),Name of theDeveloper,Type,Location(District),Date ofCommissioning
644,Rakhoh Enterprises,0.60,Suzlon,Wind,Jaisalmer,2-Mar-2011
645,Balkrishna SizingIndustries,0.60,Suzlon,Wind,Jaisalmer,13-Mar-2011
646,Suzlon InfrastructureServices Ltd,2.25,Suzlon,Wind,Jaisalmer,13-Mar-2011
647,Hindustan Zinc Limited,25.20,Suzlon,Wind,Jaisalmer,13-Mar-2011
648,East & West Builders,2.50,Suzlon,Wind,Jaisalmer,14-Mar-2011
649,Indrani Patnaik,15.00,Suzlon,Wind,Jaisalmer,14-Mar-2011
650,Tarini Minerals (P) Ltd,15.00,Suzlon,Wind,Jaisalmer,15-Mar-2011
651,D J Malpani,1.50,Suzlon,Wind,Jaisalmer,21-Mar-2011
652,D J Malpani,1.50,Suzlon,Wind,Jaisalmer,21-Mar-2011
653,Rasi Seeds (P) Ltd,3.00,Suzlon,Wind,Jaisalmer,21-Mar-2011
654,MGM Minerals Ltd,3.00,Suzlon,Wind,Jaisalmer,21-Mar-2011
655,D J Malpani,1.50,Suzlon,Wind,Jaisalmer,21-Mar-2011
656,Geetarani Mohanty,1.50,Suzlon,Wind,Jaisalmer,21-Mar-2011
657,Shree Jagdamba EnergyLLP,0.60,Suzlon,Wind,Jaisalmer,21-Mar-2011
658,Shanno Business IndiaPvt Ltd.,0.60,Suzlon,Wind,Jaisalmer,21-Mar-2011
