0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
5620,GRT Hotels and Resorts pvt. Ltd.,0.60,palladam,Wind,24-Mar-2009
5621,Pariyur Amman Wind Energy (P) Ltd.,0.60,palladam,Wind,24-Mar-2009
5622,Shanthi Gears Limited,0.64,COIMBATORE(SOUTH),Wind,24-Mar-2009
5623,Sampoornam Sizing Mill,0.60,palladam,Wind,24-Mar-2009
5624,S.N.N. TEXTILES PVT.LTD.,0.60,palladam,Wind,24-Mar-2009
5625L,kshmi Narayan Gauri Shankar Enterprises Pvt L,d0.25,palladam,Wind,24-Mar-2009
5626,"PERFECT GEARS (CHENNAI) (P) LTD.,",0.25,Tirunelveli,Wind,25-Mar-2009
5627,R.C.R.ECO-POWER,0.60,Tirunelveli,Wind,25-Mar-2009
5628,Sri Anuragavi Garments,0.23,Udumalpet,Wind,25-Mar-2009
5629,M/s.Sree Santhosh Garments,1.65,Theni,Wind,25-Mar-2009
