0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
8430,Prassanna Spinning Mills (P) Ltd,0.85,Udumalpet,Wind,31-Dec-2011
8431,Shri Siddhivinayaga Tex (I)(P)Ltd,0.85,Udumalpet,Wind,31-Dec-2011
8432,Kasturi & Sons Limited,0.85,Udumalpet,Wind,31-Dec-2011
8433,Kasturi & Sons Limited,0.85,Udumalpet,Wind,31-Dec-2011
8434,Kasturi & Sons Limited,0.85,Udumalpet,Wind,31-Dec-2011
8435,Sri Sankari Yarns Pvt Ltd,0.85,Udumalpet,Wind,31-Dec-2011
8436,Ramyas Hotels Pvt. Ltd.,0.85,palladam,Wind,31-Dec-2011
8437,Kasturi & Sons Limited,0.85,Udumalpet,Wind,4-Jan-2012
8438,NSL Wind Power Company (Phoolwadi) P Ltd,1.50,Udumalpet,Wind,6-Jan-2012
8439,"VAAYU RENEWABLE ENERGY (TAPTI) P LTD.,",0.80,Tirunelveli,Wind,10-Jan-2012
