0,1,2,3,4,5,6
S NO.,Name Of the Project,InstalledCapacity(MW),Type,Location(District),State,DATE OFCOMMISSIONING
Atria Wind Power (Bijapur-2) PvtLtd,23.30,Wind,Chitradurga,Karnataka,15-May-2017,
Bhuruka Gases Limited,13.80,Wind,Vijayapura,Karnataka,3-Jul-2017,
Bhuruka Park Private Limited,4.60,Wind,Vijayapura,Karnataka,3-Jul-2017,
Sun photo Voltaic Energy IndiaPrivate Limited,12.00,Wind,Belgaum,Karnataka,14-Aug-2017,
Sun photo Voltaic Energy IndiaPrivate Limited,6.00,Wind,Belgaum,Karnataka,28-Sep-2017,
Lalpur Wind Energy Private Limited,15.20,Wind,Bellary,Karnataka,15-Feb-2018,
Ostro Dakshin Power PrivateLimited,16.00,Wind,Koppal,Karnataka,26-Feb-2018,
BEML Limited,9.00,Wind,Koppal,Karnataka,1-Mar-2018,
Skeiron Renewable Energy KustagiPrivate Limited,16.80,Wind,Koppal,Karnataka,2-Mar-2018,
Skeiron Renewable Energy KustagiPrivate Limited,12.60,Wind,Koppal,Karnataka,2-Mar-2018,
Ostro Dakshin Power PrivateLimited,36.00,Koppal,Karnataka,7-Mar-2018,,
