0,1,2,3,4,5,6
Sr. No.,Name of Project,InstalledCapacity,Type,location (District),state,Date ofcommmisioning
1415,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-103),2.20,Wind,Virvav S/S Morbi,Gujarat,
1416,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-NRWST-105),2.20,Wind,Virvav S/S Morbi,Gujarat,
1417,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-21),2.20,Wind,Virvav S/S Morbi,Gujarat,
1418,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-23),2.20,Wind,Virvav S/S Morbi,Gujarat,
1419,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-44),2.20,Wind,Virvav S/S Morbi,Gujarat,
1420,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-14),2.20,Wind,Virvav S/S Morbi,Gujarat,
1421,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-05),2.20,Wind,Virvav S/S Morbi,Gujarat,
1422,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-ARNI-07),2.20,Wind,Virvav S/S Morbi,Gujarat,
1423,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-ARNI-02),2.20,Wind,Virvav S/S Morbi,Gujarat,
1424,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-ARNI-04),2.20,Wind,Virvav S/S Morbi,Gujarat,
1425,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-NW-23),2.20,Wind,Virvav S/S Morbi,Gujarat,
1426,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-NW-24),2.20,Wind,Virvav S/S Morbi,Gujarat,
1427,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-48),2.20,Wind,Virvav S/S Morbi,Gujarat,
1428,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-22),2.20,Wind,Virvav S/S Morbi,Gujarat,
1429,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-ARNI-03),2.20,Wind,Virvav S/S Morbi,Gujarat,
1430,TRINETHRA WIND AND HYDRO POWERPVT.LTD; BENGALURU(LOC-WH-84),2.20,Wind,Virvav S/S Morbi,Gujarat,
