0,1,2,3,4,5,6
S.NO,Name of Plant,InstalledCapacity (MW),Type,Location,State,Date of Commissioning
12,Jakson Power PvtLtd,10.00,Solar,Dist Lalitpur,Uttar Pradesh,19-Jan-15
13,Essel Infra Projects Ltd,50.00,Solar,Dist Jaluan,Uttar Pradesh,13-Oct-15
14,Jakson Power PvtLtd,30.00,Solar,Dist Mahoba,Uttar Pradesh,29-Oct-16
15,Nirosha Power Ltd,30.00,Solar,Dist Mahoba,Uttar Pradesh,20-Sep-16
16,Universal Saur Urja Ltd,30.00,Solar,Dist Mahoba,Uttar Pradesh,27-Sep-16
17,K.M.Energy Ltd Lucknow,5.00,Solar,Dist Mahoba,Uttar Pradesh,30-Oct-16
18,M/s Sukhbir Agro Energy Ltd,10.00,Solar,Dist Lalitpur,Uttar Pradesh,6-Feb-17
19,M/s Aryavaan RenewableEnergy Pvt Ltd,5.00,Solar,Dist Hamirpur,Uttar Pradesh,8-Feb-17
20,M/s. Sun N Wind InfraEnergy PvtLtd,10.00,Solar,Dist Lalitpur,Uttar Pradesh,21-Feb-17
21,M/s Sukhbir Agro Energy Ltd,20.00,Solar,Dist Lalitpur,Uttar Pradesh,31-Mar-17
22,M/s. Salsaar PvtLtd,5.00,Solar,Dist Hamirpur,Uttar Pradesh,22-May-17
23,M/s. PSPN Energy Ltd,15.00,Solar,Dist Jalaun,Uttar Pradesh,31-Mar-17
