0,1,2,3,4,5,6
S NO.,Name Of the Project,InstalledCapacity(MW),Type,Location(District),State,DATE OFCOMMISSIONING
"Vijayananda Road Lines Ltd., (Phase1)",2.50,Wind,Gadag,Karnataka,23-Sep-2006,
"Vijayananda Road Lines Ltd., (Phase2)",10.00,Wind,Gadag,Karnataka,23-Sep-2006,
VS Lad & Sons,2.50,Wind,Gadag,Karnataka,28-Sep-2006,
"VSL Mining Company (P) Ltd.,",1.25,Wind,Gadag,Karnataka,28-Sep-2006,
Shakhambari Enterprises,1.25,Wind,Gadag,Karnataka,28-Sep-2006,
Happy Valley Developers,1.25,Wind,Gadag,Karnataka,28-Sep-2006,
MPR Widn Farms,1.25,Wind,Gadag,Karnataka,28-Sep-2006,
"Nuziveedu Seeds Ltd.,",3.75,Wind,Gadag,Karnataka,28-Sep-2006,
Revathi Raju,1.25,Wind,Gadag,Karnataka,28-Sep-2006,
"Enercon WindFarms (Hindustan)(P) Ltd.,JNI",24.00,Wind,Chitradurga,Karnataka,29-Sep-2006,
"Enercon WindFarms (Hindustan)(P) Ltd.,JNI",20.80,Tumkur,Karnataka,29-Sep-2006,,
