0,1,2,3,4,5,6
S.NO,Name of Plant,InstalledCapacity (MW),Type,Location,State,Date ofCommissioning
55,Enercon (India) Limited,13.60,Wind,Kurnool,Andhra Pradesh,1-Sep-2010
56,Enercon (India) Limited,18.40,Wind,Kurnool,Andhra Pradesh,1-Dec-2010
57,Enercon (India) Limited,4.00,Wind,Kurnool,Andhra Pradesh,22-Jan-2011
58,Enercon (India) Limited,0.80,Wind,Kurnool,Andhra Pradesh,28-Feb-2011
59,Enercon (India) Limited,8.80,Wind,Kurnool,Andhra Pradesh,31-Mar-2011
60,Sai Silk Kalamandir Hyderabad,1.00,Wind,Kurnool,Andhra Pradesh,31-Mar-2011
61,Enercon (India) Limited,1.60,Wind,Kurnool,Andhra Pradesh,31-May-2011
62,Hyderabad Chemicals Ltd,5.10,Wind,Ananthapuramu,Andhra Pradesh,30-Jun-2011
63,Sai Silk Kalamandir Hyderabad,1.00,Wind,Kurnool,Andhra Pradesh,16-Jul-2011
64,Enercon (India) Limited,12.80,Wind,Kurnool,Andhra Pradesh,30-Sep-2011
65,NREDCAP,5.95,Wind,Ananthapuramu,Andhra Pradesh,29-Mar-2012
