0,1,2,3,4,5,6
S.NO,Name of Plant,InstalledCapacity (MW),Type,Location,State,Date ofCommissioning
143,Sun Win Powertech LLP,4.00,Wind,Ananthapuramu,Andhra Pradesh,28-Nov-2015
144,Vibrant Green Tech India Pvt Ltd,0.80,Wind,Ananthapuramu,Andhra Pradesh,28-Nov-2015
145,Vibrant Green Tech India Pvt Ltd,8.00,Wind,Ananthapuramu,Andhra Pradesh,15-Dec-2015
146,Mytrah Vaya (Indravathi) Pvt Ltd,23.10,Wind,Ananthapuramu,Andhra Pradesh,31-Dec-2015
147,Rambhadra Industries  Ltd,2.00,Wind,Ananthapuramu,Andhra Pradesh,20-Feb-2016
148,Idupulapadu Cotton Mills PvtLtd,4.00,Wind,Ananthapuramu,Andhra Pradesh,20-Feb-2016
149,Srinivasa Cotton & Oil Mills PvtLtd,2.00,Wind,Ananthapuramu,Andhra Pradesh,20-Feb-2016
150,Viswateja Spinning Mills Ltd,2.00,Wind,Ananthapuramu,Andhra Pradesh,20-Feb-2016
151,Mangalam Fashions Limited,2.10,Wind,Ananthapuramu,Andhra Pradesh,24-Mar-2016
152,Woodside Fashion Limited,2.10,Wind,Ananthapuramu,Andhra Pradesh,24-Mar-2016
153,Levelstate System Pvt Ltd,2.10,Wind,Ananthapuramu,Andhra Pradesh,24-Mar-2016
