0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
90,ABT,0.25,Kanyakumari,Wind,31-Mar-1994
91,Sri jayavillas Subbaraj.Spinning Mills ltd,0.23,Kanyakumari,Wind,31-Mar-1994
92,Sri jayavillas Subbaraj.Spinning Mills ltd,0.23,Kanyakumari,Wind,31-Mar-1994
93,Southern wires Chennai,0.45,Kanyakumari,Wind,31-Mar-1994
94,"L.G.BALAKRISHNAN & BROS. LTD.,",0.68,Tirunelveli,Wind,31-Mar-1994
95,"L.G.B.AUTO PRODUCTS (P) LTD.,",0.45,Tirunelveli,Wind,31-Mar-1994
96,"NARASU""S SPINNING MILLS",0.25,Tirunelveli,Wind,31-Mar-1994
97,"NARASU""S SPINNING MILLS",0.25,Tirunelveli,Wind,31-Mar-1994
98,PRISAN WINDMILL DIVISION Pvt. Ltd,0.25,palladam,Wind,4-Jun-1994
99,Maharaja Sathyam Industries Pvt. Ltd,0.25,palladam,Wind,4-Jun-1994
