0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
7520,"SRB CONSULTANCY (P) LTD.,",1.50,Tirunelveli,Wind,30-Mar-2011
7521,"NCML INDUSTRIES LTD.,",1.00,Tirunelveli,Wind,30-Mar-2011
7522,"SHRI LALMAHAL LTD.,",1.00,Tirunelveli,Wind,30-Mar-2011
7523,SRI VENKATACHALAPATHY SPINNING MILLS (P),0.60,Tirunelveli,Wind,30-Mar-2011
7524,SARAVANA SPINNING MILLS,0.60,Tirunelveli,Wind,30-Mar-2011
7525,ASTALAKSHMI AGENCIES,0.23,Tirunelveli,Wind,30-Mar-2011
7526,MR.M.RAMESH,0.23,Tirunelveli,Wind,30-Mar-2011
7527,SATELLITE ENERGY VENTURES,0.23,Tirunelveli,Wind,30-Mar-2011
7528,"M/s. Grace Infrastructure (P) Ltd,",1.50,Theni,Wind,30-Mar-2011
7529,"M/s. Grace Infrastructure (P) Ltd,",1.50,Theni,Wind,30-Mar-2011
