0,1,2,3,4,5,6
S. No.,Name of Project,Installed Capacity(MW),Name of theDeveloper,Type,Location(District),Date ofCommissioning
809,Vivek Pharmachem(India) Ltd,1.25,Suzlon,Wind,Jodhpur,31-Mar-2012
810,CLP Wind Farms (India)Pvt. Ltd.,4.00,Enercon,Wind,Jaisalmer,23-Mar-2012
811,India Power CorporationLimited,24.00,Enercon,Wind,Jaisalmer,25-Mar-2012
812,India Power CorporationLimited,28.00,Enercon,Wind,Jaisalmer,31-Mar-2012
813,Jajoo Exports,0.85,Veer,Wind,Jaisalmer,31-Mar-2012
814,Oil India Ltd.,13.60,Veer,Wind,Jaisalmer,30-Mar-2012
815,Maharaja Shree UmaidMills Ltd,5.95,Veer,Wind,Jaisalmer,31-Mar-2012
816,Green Infra Wind EnergyAssets Ltd.,15.00,Regen,Wind,Pratapgath,28-Mar-2012
817,Ercon Composites,1.20,Vestas,Wind,Jaisalmer,29-Mar-2012
818,Eco RRB Infra Pvt. Ltd.,1.20,Vestas,Wind,Jaisalmer,29-Mar-2012
819,National EngineeringIndustries Ltd.,1.25,Suzlon,Wind,Jaisalmer,22-Apr-2012
820,Hyderabad IndustriesLtd.,2.50,Suzlon,Wind,Jaisalmer,7-May-2012
821,SagarAgencies Pvt. Ltd.,1.25,Suzlon,Wind,Jaisalmer,7-May-2012
822,Maharaja Shree UmaidMills Ltd,3.00,Suzlon,Wind,Jodhpur,7-Jun-2012
823,Bindu Vayu Urja Pvt. Ltd.,14.70,Suzlon,Wind,Jaisalmer,20-Jul-2012
