0,1,2,3,4,5
S.NO,Project Name,InstalledCapacity (MW),Location (District),Type,COMMISSIONINGDATE
2010,"SRI VISHNU SANKAR MILL LTD.,",1.25,Tirunelveli,Wind,30-Sep-2004
2011,"PPS ENVIRO POWER (P) LTD.,",0.50,Tirunelveli,Wind,30-Sep-2004
2012,"G.R.T.HOTELS AND RESORTS (P) LTD.,",0.60,Tirunelveli,Wind,30-Sep-2004
2013,Akilan Oil Industries,0.25,Udumalpet,Wind,30-Sep-2004
2014,Siva Electric Generation,0.25,Udumalpet,Wind,30-Sep-2004
2015,Shri  Dhanalakshmi  Spinntex (P) Ltd,0.75,Udumalpet,Wind,30-Sep-2004
2016,Shri  Dhanalakshmi  Spinntex (P) Ltd,0.75,Udumalpet,Wind,30-Sep-2004
2017,Shri  Dhanalakshmi  Spinntex (P) Ltd,0.75,Udumalpet,Wind,30-Sep-2004
2018,Jayanthi Textile Products - Unit II,0.50,Udumalpet,Wind,30-Sep-2004
2019,Veejay Lakshmi Engineering Works Ltd,0.75,Udumalpet,Wind,30-Sep-2004
