0,1,2,3,4,5,6
List of commissined Co-Generation Power projects in West bengal,,,,,,
S.No,Project Name,InstalledCapacity(MW),Type,Location,State,CommissionedDate
1,Renuka,15.00,Co-Genration,,West Bengal,
2,Tata Power (Haldia),120.00,Co-Genration,,West Bengal,
3,Electro Steel,12.00,Co-Genration,,West Bengal,
4,Concast Bengal,5.00,Co-Genration,,West Bengal,
5,Reshmi Cement,18.00,Co-Genration,,West Bengal,
6,Himadri Chemical Ltd,109.41,Co-Genration,,West Bengal,
7,Bengal Energy Ltd,40.00,Co-Genration,,West Bengal,
8,Crescent Power Ltd,40.00,Co-Genration,,West Bengal,
9,PCBL,30.00,Co-Genration,,West Bengal,
10,Ennore Coke,8.00,Co-Genration,,West Bengal,
,Total,397.41,,,,
